SKU,familia,litros,medida_cm,preco,ASIN,categoria_atual,browse_atual,node_alvo,migra,obs,titulo
EGC,PORTA_GUARDA_CHUVA,,,674.62,B0H4WLDNYD,CLOTHES_RACK,CASA/Guarda-Chuva,node próprio — A PESQUISAR (não é lixeira),SIM,,Ensacador de Guarda-Chuva em Aço Inox com 150 Saquinhos Plásticos para Uso Interno
EMB-03,LIXEIRA,03,,195.21,B0H52SC552,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa para Bancada Pequena
EMB-03P,LIXEIRA,03,,245.9,B0H73CH37Y,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa Preta para Bancada Pequena
EMB-05,LIXEIRA,,,244.9,B0H761RP63,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Embutir Redonda 5L em Aço Inox para Pia de Cozinha com Balde Interno
EMB-05P,LIXEIRA,,,290,B0H77J9YF2,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Embutir Inox 5L com Tampa Preta para Pia de Cozinha com Balde Interno
EMB-08,LIXEIRA,8,,344.76,B0H77M42RM,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Embutir Redonda Inox 8 Litros para Pia Cozinha com Balde de Alumínio
L1618,LIXEIRA,3,16x18,93.9,B0H6C93M6Z,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Aço Inox 3 Litros 16x18 cm Redonda Sem Tampa para Banheiro e Escritório
L1618-A,LIXEIRA,3,16x18,104.9,B0H4NRG51Q,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório
L1618-B,LIXEIRA,3,16x18,129.9,B0H6KPN1XS,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox Redonda 3 Litros 16x18 cm Flip Top Compacta para Banheiro e Cozinha
L1618-T,LIXEIRA,3,16x18,116,B0H3QQLFFY,TRASH_CAN,CASA/Banho/Lixeiras,17100596011,SIM,,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro
L1623,LIXEIRA,5,16x23,109.9,B0H5N4TR7B,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,"Lixeira em Aço Inox 5 Litros 16x23 cm Redonda Sem Tampa para Pia, Cozinha e Escritório"
L1623-A,LIXEIRA,5,16x23,120.9,B0H6XX9VYL,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aço Inox 5 Litros com Aro 16x23 cm Redonda Polida Prateada para Banheiro e Lavabo
L1623-B,LIXEIRA,5,16x23,137.9,B0H6KT72NN,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 5 Litros 16x23 cm Redonda Flip Top para Banheiro e Cozinha
L1623-T,LIXEIRA,5,16x23,123.93,B0H6C894TV,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,"Lixeira de Aço Inox 5 Litros com Tampa 16x23 cm Redonda para Banheiro, Cozinha e Escritório"
L2025,LIXEIRA,7,20x25,113.11,B0H4WPPLZB,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira em Aço Inox 7 Litros 20x25 cm Redonda Sem Tampa para Pia Banheiro e Cozinha
L2025-A,LIXEIRA,7,20x25,127.9,B0H6XYM5GF,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,"Lixeira Aço Inox 7 Litros com Aro 20x25 cm Redonda para Banheiro, Lavabo e Escritório"
L2025-B,LIXEIRA,7,20x25,139.9,B0H6L3552G,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox Redonda 7 Litros 20x25 cm Vai e Vem para Uso Interno
L2025-T,LIXEIRA,7,20x25,132.9,B0H6C5CTSC,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha
L2030,LIXEIRA,10,20x30,119.22,B0H6CCHT65,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira em Aço Inox 10 Litros 20x30 cm Redonda Sem Tampa para Pia Banheiro e Cozinha
L2030-A,LIXEIRA,10,20x30,141.9,B0H6XW8YF8,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 10 Litros 20x30 cm Redonda Polida para Banheiro Cozinha e Escritório
L2030-B,LIXEIRA,10,20x30,153.72,B0H4RV67FF,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório
L2030-T,LIXEIRA,10,20x30,143.13,B0H77661G6,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira de Aço Inox com Tampa 10 Litros 20x30 cm para Banheiro Cozinha Escritório
L2425-A,LIXEIRA,13,24x25,160.08,B0H6XV8Z59,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 13 Litros 24x25 cm Redonda Polida para Banheiro Cozinha e Escritório
L2425-AML,LIXEIRA,13,24x25,174.24,B0H6N9SS25,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,"Lixeira Aro Meia Lua em Aço Inox 13 Litros 24x25 cm Prateada para Banheiro, Lavabo e Escritório"
L2425-B,LIXEIRA,13,24x25,183.28,B0H6KPK494,TRASH_CAN,CASA/LixoRecicl,17100596011,SIM,,Lixeira Basculante em Aço Inox 13 Litros 24x25 cm Flip Top Redonda para Cozinha e Banheiro
L2430-A,LIXEIRA,15,24x30,178.49,B0H6XM9LGJ,HOME,CASA/LixoRecicl,17100596011,SIM,,Lixeira Aro em Aço Inox 15 Litros Redonda 24x30 cm para Banheiro Cozinha Escritório
