ID da alteração;Ciclo;Data da recomendação;Data da aprovação;Data da execução;Campanha;Elemento / alvo;Tipo de ação;Estado / valor anterior;Estado / valor aprovado;Motivo / diagnóstico;Fonte da decisão;Confiança;Aprovado?;Executado?;Status;Início da janela pós;Dias desde execução;Resultado pós-alteração;Veredito posterior;Reavaliar em;Observações
EC-007;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);L1618-T (B0H3QQLFFY) — desconto no preço 5%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 116,00, sem promoção;Desconto 5% → R$ 110,20 · piso R$ 109,58 · 21/09 a 20/10/2026;"26 sessões/sem, conversão baixa; devolução de 09/09 por percepção de tamanho. NO LIMITE do piso de 15%. Margem final 15,3% (SP Interior); custo por unidade vendida R$ 4,45. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-008;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);L2025-T (B0H6C5CTSC) — desconto no preço 5%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 132,90, sem promoção;Desconto 5% → R$ 126,26 · piso R$ 123,25 · 21/09 a 20/10/2026;"Maior tráfego do catálogo (52 sessões/sem); 1 venda em ~60 sessões em duas semanas. Margem final 16,5% (SP Interior); custo por unidade vendida R$ 5,10. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-009;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);PXP (B0H4S7ZKXS) — desconto no preço 5%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 167,89, sem promoção;Desconto 5% → R$ 159,50 · piso R$ 155,00 · 21/09 a 20/10/2026;"Converteu com oferta no 9.9 (3 un). Margem final 16,8% (SP Interior); custo por unidade vendida R$ 6,56. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-010;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);PXM (B0H4S3FHG6) — desconto no preço 5%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 203,54, sem promoção;Desconto 5% → R$ 193,36 · piso R$ 183,09 · 21/09 a 20/10/2026;"Converteu com oferta no 9.9 (3 un em 6 sessões). Margem final 18,4% (SP Interior); custo por unidade vendida R$ 7,97. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-011;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);Q2460-B (B0H7YNMBBK) — desconto no preço 5%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 360,97, sem promoção;Desconto 5% → R$ 342,92 · piso R$ 335,51 · 21/09 a 20/10/2026;"Zero conversão crônica desde 26/08 (14 sessões/sem). ⚠️ SEM PREÇO DE REFERÊNCIA no console — roda sem preço riscado; leitura em 28/09 deve descontar isso. Margem final 16,3% (SP Interior); custo por unidade vendida R$ 13,87. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-012;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);P4080 (B0H63W8G49) — desconto no preço 10%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 1070,17, sem promoção;Desconto 10% → R$ 963,15 · piso R$ 895,93 · 21/09 a 20/10/2026;"Ticket mais alto do catálogo; 13 sessões/sem. Margem final 19,3% (SP Interior); custo por unidade vendida R$ 82,20. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-013;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);P3060 (B0H4NLBG1Y) — desconto no preço 10%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 511,42, sem promoção;Desconto 10% → R$ 460,28 · piso R$ 404,24 · 21/09 a 20/10/2026;"Maior folga de margem entre os que têm tráfego; 13 sessões/sem. Margem final 22,6% (SP Interior); custo por unidade vendida R$ 39,47. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-014;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);PG2460 (B0H5MDZQDG) — desconto no preço 10%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 248,75, sem promoção;Desconto 10% → R$ 223,88 · piso R$ 217,76 · 21/09 a 20/10/2026;"Converteu com oferta no 9.9 (1 un); 12 sessões/sem. Margem final 16,7% (SP Interior); custo por unidade vendida R$ 18,98. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-015;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);P3050 (B0H6365DBF) — desconto no preço 10%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 467,67, sem promoção;Desconto 10% → R$ 420,90 · piso R$ 401,99 · 21/09 a 20/10/2026;"Opcional — tráfego marginal (7 sessões/sem). Margem final 17,8% (SP Interior); custo por unidade vendida R$ 36,06. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
EC-016;entre-ciclos;18/09/2026;18/09/2026;18/09/2026;Desconto no preço (promoção);L2030 (B0H6CCHT65) — desconto no preço 5%;CRIAR DESCONTO NO PREÇO;Preço de tabela R$ 119,22, sem promoção;Desconto 5% → R$ 113,26 · piso R$ 111,16 · 21/09 a 20/10/2026;"Opcional — tráfego marginal (6 sessões/sem). Margem final 16,1% (SP Interior); custo por unidade vendida R$ 4,57. Critério: tráfego × margem ≥ 15%.";ciclos/EC-18-09_ofertas.md §E7 + Business Report 07–13/09 + Simulador Mestra v4.3.4;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;22/09/2026;;;;28/09/2026;⚠️ 30 dias (21/09–20/10), não 7 como planejado: cobre a Era O6→O7 inteira e o Prime Day (05–11/10). Não empilha com oferta no mesmo ASIN. Mecanismo novo: conferir a 1ª venda pedido a pedido para descobrir a regra de atribuição do Ads.
