ID da alteração;Ciclo;Data da recomendação;Data da aprovação;Data da execução;Campanha;Elemento / alvo;Tipo de ação;Estado / valor anterior;Estado / valor aprovado;Motivo / diagnóstico;Fonte da decisão;Confiança;Aprovado?;Executado?;Status;Início da janela pós;Dias desde execução;Resultado pós-alteração;Veredito posterior;Reavaliar em;Observações
O6-001;O6;22/09/2026;22/09/2026;;Auto SP-PP-o59/09;campanha;PAUSAR CAMPANHA;Ativa (só close-match e complements), lance 1,32, R$ 10/dia;Pausada;"Gatilho O5-010 disparado: 0 cliques na Era 10–21/09. 30d: 29.085 impr / 14 cliques (todos em termos ""parede"", pré-09/09) / 0 venda. Vitalício 26 cliques / 0. Cobertura mantida pela Geral (SP-PP 2.370 impr / 4 cli em 30d) e pela Manual Bituqueiras.";ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;ALTA;SIM;NÃO;APROVADA - EXECUÇÃO PENDENTE;"=IF(E63="""","""",E63+1)";"=IF(E63="""","""",TODAY()-E63)";;;13/10/2026;Reativar só com evidência nova de demanda relevante. Não é a Geral — regra de não pausar a Geral não se aplica.
O6-002;O6;22/09/2026;22/09/2026;;Auto EGC;campanha;PAUSAR CAMPANHA;Ativa, lances fixos R$ 0,84, R$ 5/dia;Pausada;Gatilho O5-007 disparado nas duas condições: 0 vendas E CTR 0,17% (< 0,3%) na Era (10 cli / R$ 7,58). 30d: 8.534 impr / 11 cli / 0. Teste de oferta no 9.9 zerou. BR 24 sessões / 0 unidade. Problema é de página/CTR, não de entrega.;ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;ALTA;SIM;NÃO;APROVADA - EXECUÇÃO PENDENTE;"=IF(E64="""","""",E64+1)";"=IF(E64="""","""",TODAY()-E64)";;;13/10/2026;Lance 0,84 registrado para eventual retorno após revisão de página. EGC segue anunciado pela Geral.
O6-003;O6;22/09/2026;22/09/2026;;PI P3070-o228/07;"alvo asin-expanded=""B09YDLC69D""";PAUSAR ALVO;Ativo, lance 1,10;Pausado;"Régua formal de PI (15+ cliques vitalícios sem venda): 16 cliques / R$ 21,64 / 2.896 impr / 0 compra (export vitalício de 22/09, confirmado como ""Vitalício"" pelo LEO). 10 cliques em 30d. Primeiro alvo da conta a cruzar a régua. Só o alvo — a campanha segue.";ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;ALTA;SIM;NÃO;APROVADA - EXECUÇÃO PENDENTE;"=IF(E65="""","""",E65+1)";"=IF(E65="""","""",TODAY()-E65)";;;13/10/2026;Régua de PI é no nível do alvo — nunca converter em pausa de campanha.
O6-004;O6;22/09/2026;22/09/2026;22/09/2026;PI P3070-o228/07;campanha (lances asin-expanded 1,10 / asin 0,90);VIGIA — gatilho re-armado (sem mudança de lance);Congelada, gatilho O5-011 desarmado em 15/09;Ativa, lances mantidos. Gatilho O7: 0 venda atribuída na Era O6→O7 E ≥15 cliques → −20% nos asin-expanded (1,10 → 0,88);"Era: 52 cli / R$ 71,10 / 1 compra R$ 616,18 no ALVO PRÓPRIO (asin-expanded=""B0H63FKGPJ"", auto-segmentação) / ACOS 11,5%. Entrega dobrou (CTR 0,15%); ≥50 cliques em alvos de terceiros sem venda; vitalício 149 cliques sem compra. ACOS sustentado por 1 ticket — não promover a ESCALAR. Break-even do SKU ≈ 25,8%.";ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;"=IF(E66="""","""",E66+1)";"=IF(E66="""","""",TODAY()-E66)";;;13/10/2026;Triagem de alvos (5–14 cli vit / 0): B0CYWMQ93Y 11 · B0BHMZBZW9 7 · B0BSNVT11K 5 · B0F4T8FCDD 5 · B0778TD2LY 5.
O6-005;O6;22/09/2026;22/09/2026;;Geral DBA-o59/09;segmentação loose-match (Correspondência vaga);REDUZIR LANCE;R$ 0,54;R$ 0,45 (−17%);Era (export de segmentação filtrado 10–21/09): 70 cli / R$ 45,57 = 60,3% do gasto da Geral / 1 compra R$ 132,90 / ACOS 34,3% (acima do Máximo). 30d: R$ 161,97 = 56,6% / 237 cli / 2 compras / ACOS 60,9% (acima da Emergência). Simétrico à O5-001. Orçamento R$ 90 mantido (consumo 7%).;ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;ALTA;SIM;NÃO;APROVADA - EXECUÇÃO PENDENTE;"=IF(E67="""","""",E67+1)";"=IF(E67="""","""",TODAY()-E67)";;;13/10/2026;"⚠️ Conferir na execução pelos cliques/custo (70 cli · R$ 45,57), NÃO pelo nome — ""vaga"" = loose-match. Mesma armadilha da O5-010."
O6-006;O6;22/09/2026;22/09/2026;22/09/2026;Geral DBA-o59/09;produto anunciado Q2460-B (B0H7YNMBBK);VIGIA — gatilho em 28/09;"Anunciado na Geral; desconto no preço 5% ativo até 27/09 (EC-012)";"Sem mudança até 27/09. Gatilho 28/09: 0 venda na semana de desconto → pausar o anúncio do Q2460-B dentro da Geral (nível produto) até revisão de página; com venda → manter e reler na O7";30d: 69 cli / R$ 45,78 / 0 venda (16% do gasto da Geral). BR 27 sessões / 0 unidade. Zero conversão crônica. Desconto roda sem preço riscado (sem preço de referência) — teste enfraquecido.;ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;"=IF(E68="""","""",E68+1)";"=IF(E68="""","""",TODAY()-E68)";;;28/09/2026;INVESTIGAR CONVERSÃO DO SKU — fila de página. Não é pausa da Geral.
O6-007;O6;22/09/2026;22/09/2026;22/09/2026;6B Lixeiras banheiro;"O5-013 (promover ""lixeira banheiro 10 com tampa"" para manual)";CANCELAR (evidência retirada);BLOQUEADA - CONFERIR ESTADO;CANCELADA;A única evidência (venda L2030-T R$ 143,13 de 01/09) foi DEVOLVIDA — devolução aprovada 17/09 (Registro_Vendas linha 53, pedido 701-5825355-7110610). O termo volta à triagem normal.;ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;ALTA;SIM;SIM;EXECUTADA - AVALIADA;"=IF(E69="""","""",E69+1)";"=IF(E69="""","""",TODAY()-E69)";;;;"Atualizar a linha 48 (O5-013): Status → CANCELADA; Veredito → ""CANCELADA — venda-base devolvida 17/09""."
O6-008;O6;22/09/2026;22/09/2026;22/09/2026;6B Lixeiras banheiro;"exata ""lixeira inox para pia de cozinha"" (1,50, dinâmico)";VIGIA;Ativa, lance 1,50;Sem mudança. Gatilho O7: ≥15 cliques sem venda → reduzir −20% (1,50 → 1,20) ou pausar a keyword;"30d: 778 impr / 13 cli / R$ 22,97 / 0 venda = 63% do gasto da campanha. Hipótese: termo de intenção ""pia"" (3 L) atendido por SKUs de 7–15 L; o L1618-T não está no grupo.";ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;"=IF(E70="""","""",E70+1)";"=IF(E70="""","""",TODAY()-E70)";;;13/10/2026;
O6-009;O6;22/09/2026;22/09/2026;22/09/2026;6B Lixeiras banheiro;O5-014 (L2025-B no grupo);MANTER (fechada sem ação);L2025-B no grupo;Sem mudança;"30d: perna L2025-B do termo ""lixeira banheiro 7 litros"" = 3 cli / R$ 5,34 / 0; sem clique novo desde a O5.";ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;MÉDIA;SIM;SIM;EXECUTADA - AVALIADA;"=IF(E71="""","""",E71+1)";"=IF(E71="""","""",TODAY()-E71)";;;;"Fechar a linha 49 (O5-014) com veredito ""FECHADA SEM AÇÃO""."
O6-010;O6;22/09/2026;22/09/2026;22/09/2026;6B · L3070-B (piloto dinâmico) · Extintor · Cinzeiros · Bituqueiras (controle fixo);estratégia de lances — piloto O4-014 / O5-009;MANTER (piloto +1 Era);"6B e L3070-B dinâmicas; controles fixos";Sem mudança. Encerrar o piloto na O7 se repetir zero diferença e devolver 6B e L3070-B ao fixo;"Veredito da O6: INCONCLUSIVO. Era: 6B 7 cli / R$ 13,59 / 0 venda / CPC 1,94 (vs 11 / 1 / 1,60 na Era da O5); L3070-B 0 cli (0 vs 0). Controles: Extintor 0, Cinzeiros 1, Bituqueiras 0 cli. Nenhuma evidência de que o dinâmico compra leilão que o fixo perde.";ciclos/O6-22-09_diagnostico-chat-canonico.md + ciclos/O6-22-09_auditoria-code.md + relatorios/amazon/o6-22-09/;MÉDIA;SIM;SIM;EXECUTADA - EM MATURAÇÃO;"=IF(E72="""","""",E72+1)";"=IF(E72="""","""",TODAY()-E72)";;;13/10/2026;Não migrar os controles.
