Linha;ID;P — Status;S — Resultado pós-alteração;T — Veredito posterior;U — Reavaliar em
36;O5-001;EXECUTADA - AVALIADA;Era 10–21/09 (export de segmentação filtrado): substitutes 3.171 impr · 22 cli · R$ 9,23 = 12,2% do gasto da Geral (era 39% no 30d da O5) · 0 compras. 30d: R$ 96,11 (33,6%), ACOS 36,2%.;"POSITIVO — objetivo (tirar gasto da segmentação de ACOS 81%) atingido; 0 venda em 22 cliques não prova perda. Manter 0,45.";
37;O5-002;EXECUTADA - AVALIADA;Era: close-match 4.878 impr · 30 cli (vs 24 em 30 dias na O5) · R$ 20,71 (27,4%) · 1 compra R$ 398,35 · ACOS 5,2% · CTR 0,62%.;POSITIVO — mais volume na segmentação mais eficiente, ACOS dentro do Objetivo. Manter 0,54.;
38;O5-003;EXECUTADA - AVALIADA;Era: R$ 75,51 em 12 dias = R$ 6,29/dia = 7% do teto de R$ 90.;CONFIRMADA — orçamento não é restrição.;
39;O5-004;EXECUTADA - AVALIADA;PAUSADO, custo 0 na Era. Família coberta pela Geral (L2470-CZ 569 impr / 1 cli em 30d).;EFETIVA — sem reativação.;
40;O5-005;EXECUTADA - AVALIADA;PAUSADO, custo 0. PG3070 na Geral: 512 impr / 0 cli.;EFETIVA.;
41;O5-006;EXECUTADA - AVALIADA;PAUSADO, custo 0. Família extintor vendeu R$ 519,03 pela PI PXM na Era.;EFETIVA — redundância confirmada.;
42;O5-007;EXECUTADA - AVALIADA;Era: 10 cli / R$ 7,58 / 0 venda / CTR 0,17%. 30d: 8.534 impr / 11 cli / 0.;GATILHO DISPAROU → O6-002 (pausar campanha).;
43;O5-008;EXECUTADA - EM MATURAÇÃO;Era: 7 cli / R$ 13,59 / 0 venda / CPC 1,94 (vs 11 / 1 venda / 1,60 na Era da O5).;"INCONCLUSIVO — n = 1 venda total; +1 Era (O6-010).";13/10/2026
44;O5-009;EXECUTADA - EM MATURAÇÃO;"Era: 0 cli / R$ 0; TOS IS 38,1% (teve impressões).";"SEM EFEITO OBSERVÁVEL (0 vs 0); +1 Era (O6-010).";13/10/2026
45;O5-010;EXECUTADA - AVALIADA;Era: 0 cliques. loose e substitutes sem atividade após 09/09 (correção do mesmo dia vigorou). 30d: close 96 impr / complements 212 impr, 0 cli.;GATILHO DISPAROU → O6-001 (pausar campanha).;
46;O5-011;EXECUTADA - AVALIADA;"Desarmado 15/09. Era: 52 cli / R$ 71,10 / 1 venda R$ 616,18 no alvo próprio (asin-expanded=""B0H63FKGPJ"") / ACOS 11,5%. Alvo B09YDLC69D 16 cli vit / 0.";"DESARMADO; régua de alvo aplicada → O6-003; vigia re-armada → O6-004.";
47;O5-012;EXECUTADA - EM MATURAÇÃO;PAUSADO no export da Era.;"NÃO AVALIÁVEL (não é performance); reativação condicionada à liberação do anúncio.";quando o anúncio for liberado
48;O5-013;CANCELADA;Venda-base (L2030-T R$ 143,13, 01/09) devolvida — aprovada 17/09.;CANCELADA → O6-007.;
49;O5-014;EXECUTADA - AVALIADA;"30d: L2025-B 3 cli / R$ 5,34 / 0; sem clique novo desde a O5.";FECHADA SEM AÇÃO → O6-009.;
50;O5-015;EXECUTADA - AVALIADA;"Era: Cinzeiros 1 / Bituqueiras 0 / Extintor 0 cliques; TOS IS 18% / 86% / >95%.";"CONFIRMADA (métrica bruta; sem inferir teto).";
51;O5-016;EXECUTADA - AVALIADA;"Era: 2 cli / R$ 1,06 / 1 venda R$ 519,03 (Melhor Oferta −15%); CTR 30d 0,25%.";"MANTIDA — converteu em oferta; CTR segue na fila de página.";
52;O5-017;EXECUTADA - AVALIADA;"PI L2030-B Era 5 cli / 0; vit 21 cli / 3 compras. Auto PXP Era 7 cli / 0; a dúvida (+151,10 / +302,20) fecha: vendas reais de 08/09 no Registro_Vendas (PXP 1 un PR + 2 un SC).";"CONFIRMADA; dúvida da nota RESOLVIDA por fonte.";
