ID do portfólio,Nome do portfólio,Identificador da campanha,Nome da campanha,Valor do orçamento da campanha,Tipo de orçamento da campanha,Estratégia de lances da campanha,Moeda do orçamento,Intervalo de datas,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra
1383289894499,campanha automatica individual,"=""78244851008766""",Campanha automática individual EGC,5,DAILY_BUDGET,manual,BRL,11 de ago. de 2026 - 23 de ago. de 2026,361,2,0.5540%,0.55500,1.11,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""151214408407609""",Campanha de Produto Indicado- SP-PP-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,576,1,0.1736%,0.42000,0.42,0.00,0.00000,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,5,DAILY_BUDGET,manual,BRL,11 de ago. de 2026 - 23 de ago. de 2026,172,4,2.3256%,0.87500,3.50,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""70230654464817""",Campanha de Produto Indicado- L2440-AML-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,479,3,0.6263%,0.84000,2.52,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,20,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,5581,25,0.4479%,1.02280,25.57,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""229314137254983""",Campanha de Produto Indicado- SP-FF-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,413,2,0.4843%,0.49000,0.98,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""98086879114039""",Campanha de Produto Indicado- L2470-B-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,40,0,0.0000%,,0.00,0.00,,0,0,0.0000%
1383289894499,campanha automatica individual,"=""145964185460140""",campanha automática individual- P3070-o116/07,5,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 28 de jul. de 2026,681,8,1.1747%,0.75500,6.04,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""245513710362262""",Campanha de Palavra-Chave- L2030-B-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,296,2,0.6757%,1.22000,2.44,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""110098529654524""",Campanha de Palavra-Chave- PG3070-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,26 de jul. de 2026 - 9 de ago. de 2026,33,0,0.0000%,,0.00,0.00,,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""113980823359011""",Campanha de Palavra-Chave- P3050-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,560,1,0.1786%,1.29000,1.29,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 10 de ago. de 2026,111,5,4.5045%,0.44800,2.24,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""185052434192545""",Campanha de Palavra-Chave- L2470-B-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,410,1,0.2439%,0.31000,0.31,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""13641592450246""",Campanha de Palavra-Chave- PXP-o115/07,20,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 10 de ago. de 2026,42,1,2.3810%,0.69000,0.69,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""108685489444736""",campanha automática individual- SP-FF-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,1141,1,0.0876%,0.71000,0.71,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""129369277028930""",Campanha de Palavra-Chave- L2470-CZ-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,30 de jul. de 2026 - 10 de ago. de 2026,13,0,0.0000%,,0.00,0.00,,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""70139439261043""",Campanha de Palavra-Chave- L2440-AML-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,519,1,0.1927%,0.79000,0.79,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""28062808738738""",campanha automática individual- SP-01-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 17 de ago. de 2026,516,2,0.3876%,0.75000,1.50,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""123525465502040""",campanha de palavra chave- P3060-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,385,3,0.7792%,2.34667,7.04,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,517,2,0.3868%,0.65500,1.31,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""139517395374433""",Campanha de Palavra-Chave- P4080-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,195,2,1.0256%,1.71500,3.43,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""253216233355680""",Campanha de Produto Indicado- L2450-AML-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,470,4,0.8511%,0.88750,3.55,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,1056,10,0.9470%,0.54700,5.47,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""81989474043493""",Campanha de Produto Indicado- P4080-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,312,4,1.2821%,0.45250,1.81,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""252196439586079""",Campanha de Palavra-Chave- PXM-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 10 de ago. de 2026,50,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,812,7,0.8621%,0.77857,5.45,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""246652946970837""",campanha automática individual- L2470-B-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 28 de jul. de 2026,401,4,0.9975%,0.47250,1.89,0.00,0.00000,0,0,0.0000%
264141269671834,Campanha automatica geral,"=""230543495581941""",campanha automatica geral DBA-o311/08,90,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,53505,321,0.5999%,0.59536,191.11,3152.69,16.49673,6,9,0.0112%
1383289894499,campanha automatica individual,"=""205120134950364""",campanha automática individual- L2450--CZ-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,1059,1,0.0944%,0.93000,0.93,0.00,0.00000,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,5,DAILY_BUDGET,manual,BRL,30 de jul. de 2026 - 23 de ago. de 2026,95,1,1.0526%,0.28000,0.28,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""52546137799748""",campanha automática individual- L2440-AML-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,251,0,0.0000%,,0.00,0.00,,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""227485829194320""",Campanha - Manual Bituqueiras Space,6,DAILY_BUDGET,manual,BRL,13 de ago. de 2026 - 21 de ago. de 2026,18,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o228/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,1157,4,0.3457%,1.17500,4.70,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""92632927256196""",campanha automática individual- L2450-AML-o102/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 29 de jul. de 2026,183,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,625,6,0.9600%,0.74000,4.44,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""3262494915796""",Campanha de Produto Indicado- P3050-o228/07,20,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,3009,16,0.5317%,0.64938,10.39,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""157934729939405""",Campanha automática inidividual- L1618-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,55,2,3.6364%,0.47500,0.95,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""234950194216241""",campanha automática individual- SP-PP-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 23 de ago. de 2026,20016,14,0.0699%,0.97214,13.61,0.00,0.00000,0,0,0.0000%
178029480993742,campanha de palavra chave,"=""59761224759474""",Campanha de Palavra-Chave- L2450-AML-o116/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 11 de ago. de 2026,178,1,0.5618%,1.68000,1.68,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""74625636500610""",campanha automática individual- L2030-B-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,25 de jul. de 2026 - 28 de jul. de 2026,446,1,0.2242%,1.34000,1.34,0.00,0.00000,0,0,0.0000%
