Data inicial,Data de término,País,Termo de pesquisa do cliente,Classificação de impressão de termo de pesquisa,Parcela de impressões de termo de pesquisa,Palavra-chave,Tipo de correspondência,Nome do portfólio,Nome da campanha,Nome do grupo de anúncios,Moeda,Cliques,Impressões,Taxa de cliques (CTR),Gastos,Custo por clique (CPC),Total de pedidos em 7 dias (N.º),"Total de vendas em 7 dias ","Total do custo de publicidade das vendas (ACOS) ",Retorno total sobre gastos com anúncios (ROAS),Taxa de conversão em 7 dias
"Jul 25, 2026","Aug 23, 2026",Brasil,papel de parede,66,0.060%,*,-,campanha automatica individual,campanha automática individual- SP-PP-o116/07,campanha automática individual- SP-PP16/07,BRL,1,406,0.250%,R$0.82,R$0.82,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,relogio de parede,56,0.090%,*,-,campanha automatica individual,campanha automática individual- SP-PP-o116/07,campanha automática individual- SP-PP16/07,BRL,1,295,0.340%,R$1.2,R$1.2,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b076vynp9w,2,34.260000000000005%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,9,198,4.550%,R$3.22,R$0.36,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b092cd37xj,4,8.810%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,183,0.5499999999999999%,R$0.75,R$0.75,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h8fbcpwk,3,16.880%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,52,1.920%,R$0.8,R$0.8,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h8fbcpwk,3,16.880%,"asin-expanded=""B0CYWMQ93Y""",-,campanha de produto indicado,Campanha de Produto Indicado- P3050-o228/07,Campanha de Produto Indicado- P3050-o228/07,BRL,2,50,4.000%,R$1.3,R$0.65,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h8fbcpwk,3,16.880%,"asin-expanded=""B0GZ59P5FC""",-,campanha de produto indicado,Campanha de Produto Indicado- P3050-o228/07,Campanha de Produto Indicado- P3050-o228/07,BRL,1,2,50.000%,R$0.39,R$0.39,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h8fbcpwk,3,16.880%,*,-,campanha automatica individual,campanha automática individual- P3050-o102/07,campanha automática individual- P3050,BRL,1,55,1.820%,R$0.41,R$0.41,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h8fbcpwk,3,16.880%,"asin-expanded=""B0H5CSY3CT""",-,campanha de produto indicado,Campanha de Produto Indicado- P3050-o228/07,Campanha de Produto Indicado- P3050-o228/07,BRL,1,8,12.500%,R$0.36,R$0.36,0,R$0.0,,0.0,0.000%
"Jul 25, 2026","Aug 23, 2026",Brasil,b0h8fbcpwk,3,16.880%,"asin-expanded=""B0CFG94B8Z""",-,campanha de produto indicado,Campanha de Produto Indicado- P3050-o228/07,Campanha de Produto Indicado- P3050-o228/07,BRL,1,7,14.290%,R$0.36,R$0.36,0,R$0.0,,0.0,0.000%
