Identificador da campanha,Nome da campanha,ID da conta do anunciante,Produto de anúncio,Intervalo de datas,Moeda do orçamento,Parcela de impressões no topo da pesquisa,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas
"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,0.1896%,625,6,0.9600%,0.74000,4.44,0.00,0.00000,0,0
"=""108685489444736""",campanha automática individual- SP-FF-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,0.0365%,1141,1,0.0876%,0.71000,0.71,0.00,0.00000,0,0
"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,4 de ago. de 2026 - 23 de ago. de 2026,BRL,29.6296%,714,6,0.8403%,1.38833,8.33,0.00,0.00000,0,0
"=""110098529654524""",Campanha de Palavra-Chave- PG3070-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,26 de jul. de 2026 - 9 de ago. de 2026,BRL,32.7586%,33,0,0.0000%,,0.00,0.00,,0,0
"=""113980823359011""",Campanha de Palavra-Chave- P3050-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,7.0608%,560,1,0.1786%,1.29000,1.29,0.00,0.00000,0,0
"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o228/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,10.4430%,1157,4,0.3457%,1.17500,4.70,0.00,0.00000,0,0
"=""123525465502040""",campanha de palavra chave- P3060-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,9.6280%,385,3,0.7792%,2.34667,7.04,0.00,0.00000,0,0
"=""125746095085649""",Campanha de Palavra-Chave- L1618-T-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 29 de jul. de 2026,BRL,1.0121%,236,2,0.8475%,1.01000,2.02,0.00,0.00000,0,0
"=""126822188430843""",Campanha de Produto Indicado- L2450--CZ-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,1.1344%,1047,3,0.2865%,0.84667,2.54,0.00,0.00000,0,0
"=""127101313485538""",Campanha de Palavra-Chave- L2450--CZ-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,7 de ago. de 2026 - 7 de ago. de 2026,BRL,,0,0,,,0.00,0.00,,0,0
"=""128467924533879""",Campanha - Extintor Palavra-Chave Exato Manual,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,30 de jul. de 2026 - 23 de ago. de 2026,BRL,60.2564%,271,0,0.0000%,,0.00,0.00,,0,0
"=""129369277028930""",Campanha de Palavra-Chave- L2470-CZ-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,30 de jul. de 2026 - 10 de ago. de 2026,BRL,50.0000%,13,0,0.0000%,,0.00,0.00,,0,0
"=""13641592450246""",Campanha de Palavra-Chave- PXP-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 10 de ago. de 2026,BRL,48.4848%,42,1,2.3810%,0.69000,0.69,0.00,0.00000,0,0
"=""139517395374433""",Campanha de Palavra-Chave- P4080-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,18.5751%,195,2,1.0256%,1.71500,3.43,0.00,0.00000,0,0
"=""145964185460140""",campanha automática individual- P3070-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 28 de jul. de 2026,BRL,0.8275%,681,8,1.1747%,0.75500,6.04,0.00,0.00000,0,0
"=""151214408407609""",Campanha de Produto Indicado- SP-PP-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,0.1376%,576,1,0.1736%,0.42000,0.42,0.00,0.00000,0,0
"=""157934729939405""",Campanha automática inidividual- L1618-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,0.0062%,55,2,3.6364%,0.47500,0.95,0.00,0.00000,0,0
"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,30 de jul. de 2026 - 23 de ago. de 2026,BRL,57.1429%,95,1,1.0526%,0.28000,0.28,0.00,0.00000,0,0
"=""163724971822822""",campanha automática individual- PXM-o228/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 23 de ago. de 2026,BRL,0.5809%,2075,7,0.3373%,1.00857,7.06,0.00,0.00000,0,0
"=""185052434192545""",Campanha de Palavra-Chave- L2470-B-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 11 de ago. de 2026,BRL,5.9743%,410,1,0.2439%,0.31000,0.31,0.00,0.00000,0,0
"=""190353171933793""",Campanha de Palavra-Chave- SP-PP-o116/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,6 de ago. de 2026 - 7 de ago. de 2026,BRL,50.0000%,6,0,0.0000%,,0.00,0.00,,0,0
"=""191419563474871""",Campanha de Produto Indicado- SP-01-o228/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,25 de jul. de 2026 - 5 de ago. de 2026,BRL,1.7647%,361,1,0.2770%,0.75000,0.75,0.00,0.00000,0,0
