Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
11 de ago. de 2026 - 23 de ago. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro,L2430-B,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,125,1,0.8000%,1.24000,1.24,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2430-B,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,498,2,0.4016%,0.57500,1.15,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 11 de ago. de 2026,"=""245513710362262""",Campanha de Palavra-Chave- L2030-B-o103/07,"=""7667999543220""",Campanha de Palavra-Chave- L2030-B-o103/07,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,178029480993742,campanha de palavra chave,BRL,296,2,0.6757%,1.22000,2.44,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,812,7,0.8621%,0.77857,5.45,0.00,0.00000,0,0,0.0000%
4 de ago. de 2026 - 23 de ago. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,93,1,1.0753%,1.49000,1.49,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 28 de jul. de 2026,"=""74625636500610""",campanha automática individual- L2030-B-o115/07,"=""548614128360172""",campanha automática individual- L2030-Bo115/07,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,1383289894499,campanha automatica individual,BRL,446,1,0.2242%,1.34000,1.34,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,633,8,1.2638%,0.43625,3.49,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L1623-T,B0H6C894TV,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,311,5,1.6077%,0.56200,2.81,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3040-A,B0H5MJTHK2,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,406,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L1623-A,B0H6XX9VYL,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,255,2,0.7843%,0.58500,1.17,0.00,0.00000,0,0,0.0000%
4 de ago. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,SP-FF,B0H5X821QS,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,32,0,0.0000%,,0.00,0.00,,0,0,
