Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
7 de ago. de 2026 - 7 de ago. de 2026,lixeira banheiro com tampa inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,1,1,0.54000,100.0000%,0.54,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 23 de ago. de 2026,cesto de lixo chic para lavabo,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,1,1,0.39000,100.0000%,0.39,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 17 de ago. de 2026,B0CWRXGFWP,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""162752730016997""",campanha de produto indicado-P3060-o115/07,"asin-expanded=""B0CWRXGFWP""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3060,BRL,7,1,0.74000,14.2857%,0.74,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 10 de ago. de 2026,lixeira basculante 3l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-B,BRL,2,1,0.82000,50.0000%,0.82,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,porta guarda chuva,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,PG2460,BRL,305,1,0.72000,0.3279%,0.72,0.00,0.00000,0,0,0.0000%
29 de jul. de 2026 - 23 de ago. de 2026,porta guarda chuva,"=""58296046930587""",campanha automática individual- PG3070-o115/07,"=""476720209289154""",campanha automática individual- PG3070-o115/07,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,PG3070,BRL,74,1,0.75000,1.3514%,0.75,0.00,0.00000,0,0,0.0000%
31 de jul. de 2026 - 1 de ago. de 2026,B0H8FBCPWK,"=""3262494915796""",Campanha de Produto Indicado- P3050-o228/07,"=""113839187289861""",Campanha de Produto Indicado- P3050-o228/07,"asin-expanded=""B0H5CSY3CT""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3050,BRL,15,1,0.36000,6.6667%,0.36,0.00,0.00000,0,0,0.0000%
5 de ago. de 2026 - 5 de ago. de 2026,lixo 50l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2470-B,BRL,1,1,0.80000,100.0000%,0.80,0.00,0.00000,0,0,0.0000%
1 de ago. de 2026 - 23 de ago. de 2026,lixeira brinox 5l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,16,2,0.70000,12.5000%,1.40,0.00,0.00000,0,0,0.0000%
10 de ago. de 2026 - 10 de ago. de 2026,lixeira de aço inox com tampa 5 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,1,1,0.68000,100.0000%,0.68,0.00,0.00000,0,0,0.0000%
1 de ago. de 2026 - 23 de ago. de 2026,lixeira banheiro inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,34,2,0.74000,5.8824%,1.48,0.00,0.00000,0,0,0.0000%
21 de ago. de 2026 - 22 de ago. de 2026,arandela de parede quarto,"=""234950194216241""",campanha automática individual- SP-PP-o116/07,"=""559914515436204""",campanha automática individual- SP-PP16/07,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,3,1,0.90000,33.3333%,0.90,0.00,0.00000,0,0,0.0000%
5 de ago. de 2026 - 5 de ago. de 2026,B076PN56DJ,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,"asin-expanded=""B076T9QLJS""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L1618-A,BRL,1,1,0.30000,100.0000%,0.30,0.00,0.00000,0,0,0.0000%
14 de ago. de 2026 - 14 de ago. de 2026,paredes,"=""234950194216241""",campanha automática individual- SP-PP-o116/07,"=""559914515436204""",campanha automática individual- SP-PP16/07,close-match,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,2,1,0.18000,50.0000%,0.18,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 20 de ago. de 2026,lixeira 25l click,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,1,1,0.42000,100.0000%,0.42,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 25 de jul. de 2026,B0F924D9HX,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,"asin-expanded=""B0FNRL7TG1""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L2030-B,BRL,1,1,0.79000,100.0000%,0.79,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,lixeira 100l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L4080-B,BRL,103,1,0.35000,0.9709%,0.35,0.00,0.00000,0,0,0.0000%
5 de ago. de 2026 - 6 de ago. de 2026,B0DZV82N4P,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-B,BRL,4,1,0.80000,25.0000%,0.80,0.00,0.00000,0,0,0.0000%
2 de ago. de 2026 - 23 de ago. de 2026,lixo de banheiro,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,14,1,0.75000,7.1429%,0.75,0.00,0.00000,0,0,0.0000%
5 de ago. de 2026 - 22 de ago. de 2026,B0D7JSB8B6,"=""163724971822822""",campanha automática individual- PXM-o228/07,"=""560459911677559""",campanha automática individual- PXM-o228/07,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,PXM,BRL,27,1,1.98000,3.7037%,1.98,0.00,0.00000,0,0,0.0000%
6 de ago. de 2026 - 23 de ago. de 2026,B076VYNP9W,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,66,1,0.32000,1.5152%,0.32,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 17 de ago. de 2026,lixo pia cozinha,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,15,1,0.80000,6.6667%,0.80,0.00,0.00000,0,0,0.0000%
31 de jul. de 2026 - 11 de ago. de 2026,lixeira para cozinha 15 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2430-A,BRL,6,1,0.80000,16.6667%,0.80,0.00,0.00000,0,0,0.0000%
28 de jul. de 2026 - 28 de jul. de 2026,B0FNRJBVHJ,"=""253216233355680""",Campanha de Produto Indicado- L2450-AML-o103/07,"=""247012709725757""",Campanha de Produto Indicado- L2450-AML-o103/07,"asin-expanded=""B0C2S3SPZN""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L2450-AML,BRL,1,1,1.06000,100.0000%,1.06,0.00,0.00000,0,0,0.0000%
12 de ago. de 2026 - 12 de ago. de 2026,B0H6KT72NN,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2030-B,BRL,1,1,0.50000,100.0000%,0.50,0.00,0.00000,0,0,0.0000%
29 de jul. de 2026 - 23 de ago. de 2026,B0F4SRV3MY,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3050,BRL,151,2,0.47000,1.3245%,0.94,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 28 de jul. de 2026,B0G62GC6SB,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o228/07,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o228/07,"asin-expanded=""B0C5JVXL21""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L2470-CZ,BRL,5,1,1.09000,20.0000%,1.09,0.00,0.00000,0,0,0.0000%
18 de ago. de 2026 - 18 de ago. de 2026,lixo escritorio 40 litros inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L3060-A,BRL,5,1,0.52000,20.0000%,0.52,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 20 de ago. de 2026,lixeira 50,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin=""B0CYWMQ93Y""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,1,1,1.00000,100.0000%,1.00,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 9 de ago. de 2026,lixeira quadrada 24 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,1,1,0.61000,100.0000%,0.61,0.00,0.00000,0,0,0.0000%
3 de ago. de 2026 - 3 de ago. de 2026,B0FCSTJMVQ,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2450-B,BRL,2,1,0.39000,50.0000%,0.39,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,lixeira cozinha pia,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,EMB-05P,BRL,17,1,0.77000,5.8824%,0.77,0.00,0.00000,0,0,0.0000%
30 de jul. de 2026 - 31 de jul. de 2026,B0H8FBCPWK,"=""3262494915796""",Campanha de Produto Indicado- P3050-o228/07,"=""113839187289861""",Campanha de Produto Indicado- P3050-o228/07,"asin-expanded=""B0CFG94B8Z""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3050,BRL,12,1,0.36000,8.3333%,0.36,0.00,0.00000,0,0,0.0000%
29 de jul. de 2026 - 29 de jul. de 2026,lixeira de lavabo dourada,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,1,1,0.60000,100.0000%,0.60,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 23 de ago. de 2026,B07TXWL7SJ,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""162752730016997""",campanha de produto indicado-P3060-o115/07,"asin-expanded=""B07TXWL7SJ""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3060,BRL,24,2,0.48500,8.3333%,0.97,0.00,0.00000,0,0,0.0000%
21 de ago. de 2026 - 23 de ago. de 2026,lixeira para banheiro dourado fosco,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L4060-B,BRL,3,1,0.27000,33.3333%,0.27,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 23 de ago. de 2026,B0H2ZJKTFN,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L4075-B,BRL,7,1,0.76000,14.2857%,0.76,0.00,0.00000,0,0,0.0000%
5 de ago. de 2026 - 5 de ago. de 2026,lixeira inox tampa brinox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,1,1,0.67000,100.0000%,0.67,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 23 de ago. de 2026,protetor de quina de parede,"=""234950194216241""",campanha automática individual- SP-PP-o116/07,"=""559914515436204""",campanha automática individual- SP-PP16/07,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,8,1,1.32000,12.5000%,1.32,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,lixeira inox 10l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2030-A,BRL,37,1,0.63000,2.7027%,0.63,0.00,0.00000,0,0,0.0000%
16 de ago. de 2026 - 16 de ago. de 2026,suporte porta extintor aço inox redondo,"=""60867425277707""",campanha automática inidividual- PXP-o311/08,"=""374068040998928""",campanha automática inidividual- PXP-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,PXP,BRL,1,1,0.10000,100.0000%,0.10,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 9 de ago. de 2026,lixeira inox banheiro com tampa,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,1,1,0.64000,100.0000%,0.64,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 26 de jul. de 2026,B0DTJ6DNV7,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B08HJR5TDG""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,1,1,1.10000,100.0000%,1.10,0.00,0.00000,0,0,0.0000%
1 de ago. de 2026 - 23 de ago. de 2026,lixeira inox 5l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,40,2,0.39500,5.0000%,0.79,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 22 de ago. de 2026,lixeira inox redonda,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2425-B,BRL,1,1,0.76000,100.0000%,0.76,0.00,0.00000,0,0,0.0000%
27 de jul. de 2026 - 27 de jul. de 2026,B0F4SRV3MY,"=""253216233355680""",Campanha de Produto Indicado- L2450-AML-o103/07,"=""247012709725757""",Campanha de Produto Indicado- L2450-AML-o103/07,"asin-expanded=""B07P6Y41SL""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L2450-AML,BRL,1,1,0.56000,100.0000%,0.56,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 23 de ago. de 2026,B09YDLC69D,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B09YDLC69D""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,194,1,0.68000,0.5155%,0.68,0.00,0.00000,0,0,0.0000%
3 de ago. de 2026 - 5 de ago. de 2026,B0F8PCRT9J,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0778TD2LY""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,7,1,1.05000,14.2857%,1.05,0.00,0.00000,0,0,0.0000%
19 de ago. de 2026 - 23 de ago. de 2026,papel de parede,"=""234950194216241""",campanha automática individual- SP-PP-o116/07,"=""559914515436204""",campanha automática individual- SP-PP16/07,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,1558,1,0.82000,0.0642%,0.82,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 27 de jul. de 2026,lixeira bancada cozinha,"=""125746095085649""",Campanha de Palavra-Chave- L1618-T-o103/07,"=""256552842658121""",Campanha de Palavra-Chave- L1618-T-o103/07,lixeira para bancada,PHRASE,178029480993742,campanha de palavra chave,L1618-T,BRL,10,1,0.72000,10.0000%,0.72,0.00,0.00000,0,0,0.0000%
3 de ago. de 2026 - 20 de ago. de 2026,lixeira grande 30l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L3040-B,BRL,9,3,0.42333,33.3333%,1.27,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 8 de ago. de 2026,B0F4SRV3MY,"=""100493751446075""",Campanha de Produto Indicado- L1618-T-o103/07,"=""78690051619891""",Campanha de Produto Indicado- L1618-T-o103/07,"asin-expanded=""B0F4SRV3MY""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L1618-T,BRL,16,2,1.00000,12.5000%,2.00,0.00,0.00000,0,0,0.0000%
29 de jul. de 2026 - 30 de jul. de 2026,B0F4T417RF,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,"asin-expanded=""B0F4T417RF""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L1618-A,BRL,3,1,0.20000,33.3333%,0.20,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 29 de jul. de 2026,B076PKS5GL,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,"asin-expanded=""B076PKS5GL""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,L2030-B,BRL,2,1,0.82000,50.0000%,0.82,0.00,0.00000,0,0,0.0000%
4 de ago. de 2026 - 8 de ago. de 2026,B0GL7VTG6Q,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2470-B,BRL,5,1,0.72000,20.0000%,0.72,0.00,0.00000,0,0,0.0000%
28 de jul. de 2026 - 19 de ago. de 2026,B0H1YB94WJ,"=""163724971822822""",campanha automática individual- PXM-o228/07,"=""560459911677559""",campanha automática individual- PXM-o228/07,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,PXM,BRL,13,1,1.22000,7.6923%,1.22,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,lixeira 40 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L3060-A,BRL,88,1,1.07000,1.1364%,1.07,0.00,0.00000,0,0,0.0000%
3 de ago. de 2026 - 3 de ago. de 2026,lixeira 3 litros basculante inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-B,BRL,1,1,0.87000,100.0000%,0.87,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 25 de jul. de 2026,lixo de banheiro,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,1,1,0.67000,100.0000%,0.67,0.00,0.00000,0,0,0.0000%
5 de ago. de 2026 - 5 de ago. de 2026,B0C5RT2N65,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-B,BRL,1,1,0.64000,100.0000%,0.64,0.00,0.00000,0,0,0.0000%
14 de ago. de 2026 - 15 de ago. de 2026,lixeira banheiro tramontina,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,2,1,0.77000,50.0000%,0.77,0.00,0.00000,0,0,0.0000%
