ASIN (parent),ASIN (child),Título,Sessões - Aplicativo móvel,Sessões – Navegador,Sessões - Total,Porcentagem de sessões – Aplicativo móvel,Porcentagem da sessão - Navegador,Porcentagem de sessões – Total,Visualizações de página - Aplicativo móvel,Visualizações de página - Navegador,Visualizações da página - Total,Porcentagem de visualizações da página – Aplicativo móvel,Porcentagem de visualizações da página - Navegador,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido,Unidades reembolsadas,Tarifa de reembolso,Vendas de produtos enviados,Unidades enviadas,Pedidos enviados
B0H3QQLFFY,B0H3QQLFFY,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro,39,18,57,12.19%,8.74%,10.84%,52,30,82,13.68%,11.07%,12.60%,100.00%,2,3.51%,"R$ 232,00",2,0,0.00%,"R$ 0,00",0,0
B0H6C5CTSC,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,20,6,26,6.25%,2.91%,4.94%,21,8,29,5.53%,2.95%,4.45%,100.00%,3,11.54%,"R$ 398,70",2,0,0.00%,"R$ 0,00",0,0
B0H4NLBG1Y,B0H4NLBG1Y,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório,21,14,35,6.56%,6.80%,6.65%,29,21,50,7.63%,7.75%,7.68%,100.00%,2,5.71%,"R$ 1.022,84",1,0,0.00%,"R$ 0,00",0,0
B0H4S7ZKXS,B0H4S7ZKXS,Suporte de Chão para Extintor de Incêndio de 4 kg em Aço Inox 16x31 cm Redondo Porta Extintor,11,7,18,3.44%,3.40%,3.42%,11,9,20,2.89%,3.32%,3.07%,100.00%,3,16.67%,"R$ 503,67",1,0,0.00%,"R$ 0,00",0,0
B0H4WLDNYD,B0H4WLDNYD,Ensacador de Guarda-Chuva em Aço Inox com 150 Saquinhos Plásticos para Uso Interno,4,13,17,1.25%,6.31%,3.23%,5,15,20,1.32%,5.54%,3.07%,100.00%,1,5.88%,"R$ 674,62",1,0,0.00%,"R$ 0,00",0,0
B0H6KN61XR,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,6,2,8,1.88%,0.97%,1.52%,6,2,8,1.58%,0.74%,1.23%,100.00%,1,12.50%,"R$ 543,85",1,0,0.00%,"R$ 0,00",0,0
B0H6KY3BZD,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,2,3,5,0.63%,1.46%,0.95%,3,3,6,0.79%,1.11%,0.92%,100.00%,2,40.00%,"R$ 396,06",1,0,0.00%,"R$ 0,00",0,0
B0H7ZGZ8DK,B0H7ZGZ8DK,Lixeira Aro Quadrada em Aço Inox 100 Litros 40x70 centímetros com Tampa e Aro Removível,5,1,6,1.56%,0.49%,1.14%,5,1,6,1.32%,0.37%,0.92%,100.00%,4,66.67%,"R$ 4.212,68",1,0,0.00%,"R$ 0,00",0,0
B0H3MGC36H,B0H3MGC36H,Coletor de Bitucas Space Torre em Aço Inox Polido com Tampa para Áreas Internas e Externas,0,2,2,0.00%,0.97%,0.38%,0,2,2,0.00%,0.74%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H3QLGVX5,B0H3QLGVX5,Cinzeiro Lixeira em Aço Inox 30 Litros 24x70 cm Redonda com Aro para Áreas Externas,1,3,4,0.31%,1.46%,0.76%,1,3,4,0.26%,1.11%,0.61%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4NGLNQ4,B0H4NGLNQ4,Lixeira de Aço Inox com Pedal 80 Litros 40 x 70 centímetros com Rodízio Alça e Tampa,2,0,2,0.63%,0.00%,0.38%,2,0,2,0.53%,0.00%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4NRG51Q,B0H4NRG51Q,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório,7,2,9,2.19%,0.97%,1.71%,7,2,9,1.84%,0.74%,1.38%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4P1FFWQ,B0H4P1FFWQ,Lixeira Aro Quadrada de Aço Inox 30 Litros 24x60 cm Polida para Ambientes Internos,1,0,1,0.31%,0.00%,0.19%,1,0,1,0.26%,0.00%,0.15%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4RV67FF,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,11,4,15,3.44%,1.94%,2.85%,13,4,17,3.42%,1.48%,2.61%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4RY2L65,B0H4RY2L65,Lixeira Aro Meia Lua em Aço Inox 20 Litros 24x40 cm Prateada para Uso Interno,1,2,3,0.31%,0.97%,0.57%,1,2,3,0.26%,0.74%,0.46%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4S3FHG6,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,2,4,6,0.63%,1.94%,1.14%,2,7,9,0.53%,2.58%,1.38%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4S6J82Z,B0H4S6J82Z,Porta Guarda-Chuva em Aço Inox 50 Litros 30x70 cm Prateado para Recepção e Escritório,1,1,2,0.31%,0.49%,0.38%,1,1,2,0.26%,0.37%,0.31%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
B0H4W81CPN,B0H4W81CPN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno,5,3,8,1.56%,1.46%,1.52%,6,3,9,1.58%,1.11%,1.38%,100.00%,0,0.00%,"R$ 0,00",0,0,0.00%,"R$ 0,00",0,0
