ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H4X46QCC,B0H4X46QCC,Coletor de Pilhas e Baterias Usadas Aço Inox 27 Litros 24x60 cm Papa Pilhas para Empresas,4,1.24%,9,2.26%,100.00%,1,25.00%,"R$ 335,68",1
B0H51P391G,B0H51P391G,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno,1,0.31%,1,0.25%,100.00%,3,300.00%,"R$ 1.741,56",1
B0H3MGC36H,B0H3MGC36H,Coletor de Bitucas Space Torre em Aço Inox Polido com Tampa para Áreas Internas e Externas,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H3QQLFFY,B0H3QQLFFY,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro,37,11.46%,54,13.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NLBG1Y,B0H4NLBG1Y,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório,19,5.88%,21,5.28%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NRG51Q,B0H4NRG51Q,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H4P1FFWQ,B0H4P1FFWQ,Lixeira Aro Quadrada de Aço Inox 30 Litros 24x60 cm Polida para Ambientes Internos,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H4RV67FF,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,6,1.86%,8,2.01%,100.00%,0,0.00%,"R$ 0,00",0
B0H4RY2L65,B0H4RY2L65,Lixeira Aro Meia Lua em Aço Inox 20 Litros 24x40 cm Prateada para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H4S3FHG6,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,6,1.86%,8,2.01%,87.50%,0,0.00%,"R$ 0,00",0
B0H4S7ZKXS,B0H4S7ZKXS,Suporte de Chão para Extintor de Incêndio de 4 kg em Aço Inox 16x31 cm Redondo Porta Extintor,9,2.79%,10,2.51%,100.00%,0,0.00%,"R$ 0,00",0
B0H4W81CPN,B0H4W81CPN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WLDNYD,B0H4WLDNYD,Ensacador de Guarda-Chuva em Aço Inox com 150 Saquinhos Plásticos para Uso Interno,6,1.86%,8,2.01%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WPPLZB,B0H4WPPLZB,Lixeira em Aço Inox 7 Litros 20x25 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H4X43F5T,B0H4X43F5T,Lixeira Basculante Quadrada em Aço Inox 15 Litros 24x30 centímetros com Tampa Vai e Vem,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H51H5B4D,B0H51H5B4D,Lixeira com Pedal em Aço Inox 10 Litros 20x30 cm Redonda para Banheiro e Escritório,1,0.31%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H51M7C59,B0H51M7C59,Lixeira Basculante Quadrada em Aço Inox 50 Litros 30x60 centímetros com Tampa Vai e Vem,5,1.55%,5,1.26%,100.00%,0,0.00%,"R$ 0,00",0
B0H51PF33S,B0H51PF33S,Lixeira Basculante Redonda em Aço Inox 60 Litros 30x85 centímetros Prateada Vai e Vem,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H5LJ939G,B0H5LJ939G,Lixeira com Pedal e Alça em Aço Inox 50 Litros 30x60 cm Redonda para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H5M7DCH6,B0H5M7DCH6,Lixeira Basculante em Aço Inox 20 Litros 24x40 cm Redonda Flip Top para Cozinha e Banheiro,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MDZQDG,B0H5MDZQDG,Porta Guarda-Chuva em Aço Inox 24x60 cm Suporte para Guarda Chuvas Recepção e Escritório,7,2.17%,10,2.51%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MWNDKW,B0H5MWNDKW,Lixeira com Pedal em Aço Inox 430 65 Litros 40x50 cm Redonda para Cozinha e Uso Profissional,1,0.31%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H5X97DR7,B0H5X97DR7,Coletor de Bitucas Space de Parede em Aço Inox Polido com Tampa e Fixação para Paredes,23,7.12%,26,6.53%,95.83%,0,0.00%,"R$ 0,00",0
B0H5YQ9JMJ,B0H5YQ9JMJ,Cinzeiro Lixeira Aço Inox 25 Litros 24x50 cm Redonda com Aro para Áreas Externas,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H62YWD84,B0H62YWD84,Lixeira Aro Meia Lua em Aço Inox 25 Litros 24x50 cm Prateada para Uso Interno,3,0.93%,3,0.75%,100.00%,0,0.00%,"R$ 0,00",0
B0H6365DBF,B0H6365DBF,Lixeira de Aço Inox com Pedal 40 Litros 30x50 cm Redonda para Cozinha Escritório Clínica,8,2.48%,10,2.51%,100.00%,0,0.00%,"R$ 0,00",0
B0H63FKGPJ,B0H63FKGPJ,Lixeira Inox 60 Litros com Tampa Pedal 30x70 centímetros Redonda Aço Inox 430 Polido,16,4.95%,18,4.52%,100.00%,0,0.00%,"R$ 0,00",0
B0H63W8G49,B0H63W8G49,Lixeira Inox com Pedal 100 Litros 40x80 cm Aço 430 Polido Cilíndrica para Cozinha e Uso Profissional,7,2.17%,8,2.01%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C5CTSC,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,28,8.67%,41,10.30%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C894TV,B0H6C894TV,"Lixeira de Aço Inox 5 Litros com Tampa 16x23 cm Redonda para Banheiro, Cozinha e Escritório",3,0.93%,3,0.75%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C92MLT,B0H6C92MLT,Lixeira com Pedal e Alça em Aço Inox 40 Litros 30x50 cm Redonda para Cozinha e Escritório,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H6C93M6Z,B0H6C93M6Z,Lixeira de Aço Inox 3 Litros 16x18 cm Redonda Sem Tampa para Banheiro e Escritório,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H6CCHT65,B0H6CCHT65,Lixeira em Aço Inox 10 Litros 20x30 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,4,1.24%,6,1.51%,100.00%,0,0.00%,"R$ 0,00",0
B0H6GSX6YM,B0H6GSX6YM,Lixeira Basculante em Aço Inox 100 Litros 40x80 cm Redonda Tampa Vai e Vem para Uso Interno,4,1.24%,4,1.01%,100.00%,0,0.00%,"R$ 0,00",0
B0H6GXK1SH,B0H6GXK1SH,Lixeira Basculante em Aço Inox 62 Litros 40x50 cm Redonda Tampa Vai e Vem para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H6H1W988,B0H6H1W988,Lixeira Inox com Pedal e Alça 80 Litros 40x70 cm Redonda Prateada para Uso Interno,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H6H2BTKC,B0H6H2BTKC,Lixeira Basculante em Aço Inox 95 Litros 40x75 cm Redonda Tampa Vai e Vem para Uso Interno,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H6H4NPN8,B0H6H4NPN8,Lixeira Basculante em Aço Inox 75 Litros 40x60 cm Redonda Tampa Vai e Vem para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KFGC4J,B0H6KFGC4J,Lixeira Basculante em Aço Inox Redonda 35 Litros 30x50 cm Flip Top para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KK21H1,B0H6KK21H1,Lixeira Basculante em Aço Inox 40 Litros 30x60 cm Redonda Flip Top para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KN61XR,B0H6KN61XR,Lixeira Basculante em Aço Inox 50 Litros 30x70 cm Redonda Tampa Vai e Vem Cozinha Comércio,5,1.55%,5,1.26%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KPK494,B0H6KPK494,Lixeira Basculante em Aço Inox 13 Litros 24x25 cm Flip Top Redonda para Cozinha e Banheiro,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KPN1XS,B0H6KPN1XS,Lixeira Basculante em Aço Inox Redonda 3 Litros 16x18 cm Flip Top Compacta para Banheiro e Cozinha,2,0.62%,3,0.75%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KT72NN,B0H6KT72NN,Lixeira Basculante em Aço Inox 5 Litros 16x23 cm Redonda Flip Top para Banheiro e Cozinha,7,2.17%,11,2.76%,100.00%,0,0.00%,"R$ 0,00",0
B0H6KY3BZD,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,3,0.93%,3,0.75%,100.00%,0,0.00%,"R$ 0,00",0
B0H6L3552G,B0H6L3552G,Lixeira Basculante em Aço Inox Redonda 7 Litros 20x25 cm Vai e Vem para Uso Interno,7,2.17%,7,1.76%,100.00%,0,0.00%,"R$ 0,00",0
B0H6MYJ5P3,B0H6MYJ5P3,Lixeira Aro Meia Lua em Aço Inox 24x30 15 Litros Escritório e Banheiro Design Compacto,3,0.93%,3,0.75%,100.00%,0,0.00%,"R$ 0,00",0
B0H6N9SS25,B0H6N9SS25,"Lixeira Aro Meia Lua em Aço Inox 13 Litros 24x25 cm Prateada para Banheiro, Lavabo e Escritório",1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H6NM3QBS,B0H6NM3QBS,Lixeira Aro Meia Lua em Aço Inox 27 Litros 24x60 centímetros Prateada para Uso Interno,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H6QWF5NS,B0H6QWF5NS,Lixeira Aro em Aço Inox 30 Litros 24x70 centímetros Redonda Polida para Uso Interno,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
B0H6QYZLYM,B0H6QYZLYM,Lixeira Aro em Aço Inox Polido 100 Litros 40x80 centímetros Prateada para Uso Interno,3,0.93%,6,1.51%,100.00%,0,0.00%,"R$ 0,00",0
B0H6R5SYVL,B0H6R5SYVL,"Lixeira Aro em Aço Inox 40 Litros 30x60 cm Prateada para Cozinhas, Escritórios e Clínicas",8,2.48%,11,2.76%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XW8YF8,B0H6XW8YF8,Lixeira Aro em Aço Inox 10 Litros 20x30 cm Redonda Polida para Banheiro Cozinha e Escritório,2,0.62%,2,0.50%,100.00%,0,0.00%,"R$ 0,00",0
B0H6XX9VYL,B0H6XX9VYL,Lixeira Aço Inox 5 Litros com Aro 16x23 cm Redonda Polida Prateada para Banheiro e Lavabo,1,0.31%,1,0.25%,100.00%,0,0.00%,"R$ 0,00",0
