Estado,Nome da campanha,Código do status,Status,Tipo,Segmentação,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Compras,Vendas (convertido),Vendas,ACOS,ROAS
ATIVADO,campanha automatica geral DBA-o311/08,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Campanha automatica geral,Lances dinâmicos (aumento e redução),12/06/2026,,,"R$ 90,00","R$ 90,00",24595,<5%,0,175,"0,0071","R$ 99,23","R$ 99,23","R$ 0,57","R$ 0,57",3,"R$ 2.210,14","R$ 2.210,14","0,0449",22.272901340320466
PAUSADO,Campanha de Categoria- L2450-AML-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- L2470-B-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- L1618-T-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- L2030-B-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 5,00","R$ 5,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- L2440-AML-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- SP-FF-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- L2470-CZ-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- SP-01-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- SP-PP-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- PXM-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,campanha de categoria- P3060-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),12/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- P3070-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- PXP-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- PG3070-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 5,00","R$ 5,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
PAUSADO,Campanha de Categoria- L1618-A-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0
