Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
20 de ago. de 2026 - 9 de set. de 2026,lixeira banheiro sem tampa,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2030,BRL,9,1,1.02000,11.1111%,1.02,0.00,0.00000,0,0,0.0000%
17 de ago. de 2026 - 13 de set. de 2026,lixeira com pedal 50 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3060,BRL,10,1,0.36000,10.0000%,0.36,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 12 de set. de 2026,lixeira grande,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,64,2,0.52500,3.1250%,1.05,0.00,0.00000,0,0,0.0000%
17 de ago. de 2026 - 12 de set. de 2026,lixeira 45 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,12,1,0.44000,8.3333%,0.44,0.00,0.00000,0,0,0.0000%
11 de set. de 2026 - 13 de set. de 2026,lixeira aço inox 30 litros,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0BHMZBZW9""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,3,1,1.49000,33.3333%,1.49,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 25 de ago. de 2026,prateleira cozinha parede,"=""234950194216241""",campanha automática individual- SP-PP-o59/09,"=""559914515436204""",campanha automática individual- SP-PP-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,3,1,1.29000,33.3333%,1.29,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 5 de set. de 2026,B0H4NLBG1Y,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0H5LJ939G""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,9,1,0.90000,11.1111%,0.90,0.00,0.00000,0,0,0.0000%
19 de ago. de 2026 - 19 de ago. de 2026,lixeira de inox com pedal 10 l,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P2030,BRL,5,1,0.63000,20.0000%,0.63,0.00,0.00000,0,0,0.0000%
15 de ago. de 2026 - 11 de set. de 2026,lixeira inox para pia de cozinha,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,lixeira inox para pia de cozinha,EXACT,99873185432506,Campanhas Manuais Claude,L2430-B,BRL,68,2,1.24500,2.9412%,2.49,0.00,0.00000,0,0,0.0000%
16 de ago. de 2026 - 3 de set. de 2026,lixeira inox 3 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,6,1,0.55000,16.6667%,0.55,0.00,0.00000,0,0,0.0000%
