ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H4S7ZKXS,B0H4S7ZKXS,Suporte de Chão para Extintor de Incêndio de 4 kg em Aço Inox 16x31 cm Redondo Porta Extintor,23,8.01%,30,8.60%,93.10%,3,13.04%,"R$ 453,30",2
B0H4S3FHG6,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,6,2.09%,7,2.01%,100.00%,3,50.00%,"R$ 519,03",1
B0H4W81CPN,B0H4W81CPN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno,1,0.35%,2,0.57%,100.00%,1,100.00%,"R$ 398,35",1
B0H5MDZQDG,B0H5MDZQDG,Porta Guarda-Chuva em Aço Inox 24x60 cm Suporte para Guarda Chuvas Recepção e Escritório,12,4.18%,15,4.30%,100.00%,1,8.33%,"R$ 223,88",1
B0H6KPN1XS,B0H6KPN1XS,Lixeira Basculante em Aço Inox Redonda 3 Litros 16x18 cm Flip Top Compacta para Banheiro e Cozinha,2,0.70%,2,0.57%,100.00%,2,100.00%,"R$ 259,80",1
B0H3QLGVX5,B0H3QLGVX5,Cinzeiro Lixeira em Aço Inox 30 Litros 24x70 cm Redonda com Aro para Áreas Externas,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H3QQLFFY,B0H3QQLFFY,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro,26,9.06%,31,8.88%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NLBG1Y,B0H4NLBG1Y,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório,13,4.53%,21,6.02%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NRG51Q,B0H4NRG51Q,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H4P1FFWQ,B0H4P1FFWQ,Lixeira Aro Quadrada de Aço Inox 30 Litros 24x60 cm Polida para Ambientes Internos,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H4RV67FF,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WLDNYD,B0H4WLDNYD,Ensacador de Guarda-Chuva em Aço Inox com 150 Saquinhos Plásticos para Uso Interno,13,4.53%,13,3.72%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WPPLZB,B0H4WPPLZB,Lixeira em Aço Inox 7 Litros 20x25 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H4X43F5T,B0H4X43F5T,Lixeira Basculante Quadrada em Aço Inox 15 Litros 24x30 centímetros com Tampa Vai e Vem,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H51H5B4D,B0H51H5B4D,Lixeira com Pedal em Aço Inox 10 Litros 20x30 cm Redonda para Banheiro e Escritório,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H51M7C59,B0H51M7C59,Lixeira Basculante Quadrada em Aço Inox 50 Litros 30x60 centímetros com Tampa Vai e Vem,4,1.39%,4,1.15%,100.00%,0,0.00%,"R$ 0,00",0
B0H51P391G,B0H51P391G,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H51PF33S,B0H51PF33S,Lixeira Basculante Redonda em Aço Inox 60 Litros 30x85 centímetros Prateada Vai e Vem,2,0.70%,2,0.57%,100.00%,0,0.00%,"R$ 0,00",0
B0H52SC552,B0H52SC552,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa para Bancada Pequena,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H5LJ939G,B0H5LJ939G,Lixeira com Pedal e Alça em Aço Inox 50 Litros 30x60 cm Redonda para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MGK37B,B0H5MGK37B,Lixeira Basculante em Aço Inox 30 Litros 30x40 cm Redonda Flip Top para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MJTHK2,B0H5MJTHK2,Lixeira Aro em Aço Inox Polido 30 Litros 30x40 centímetros Prateada para Uso Interno,1,0.35%,1,0.29%,100.00%,0,0.00%,"R$ 0,00",0
