Estado,Nome da campanha,ID da campanha,campaignExternalId,País da campanha,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Ajuste de lance para o topo da pesquisa,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,CPM (convertido),CPM,Cliques,CTR visível (vCTR),CTR,CPC (convertido),CPC,CPM visível (vCPM) (convertido),CPM visível (vCPM),Distribuição visível,Impressões visíveis,Custo total (convertido),Custo total,Alcance do usuário,Alcance por domicílio,Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Visualizações da página de detalhes,Visualizações da página de detalhes (clientes novos para a marca),Adicionar ao carrinho,Adições ao carrinho (cliente novo para a marca),Pesquisas de marcas,Pesquisas de marca (clientes novos para a marca),Visualizações da página da Brand Store,Visualizações da página da Brand Store (clientes novos para a marca),Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Marca,Parcela de impressões no topo da pesquisa
PAUSADO,campanha automática individual- L2450-AML-o102/07,A0663916BPOP43RXSMVQ,92632927256196,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha automática individual- P3050-o102/07,A0663792DIVIV9BYB6OV,6383857296458,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Categoria- PXM-o103/07,A1042082K77JB4KRCB1O,135434758839009,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Categoria- L1618-A-o108/07,A00352501JVOTSB5Z6NF9,52889788605088,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,campanha automática individual- L2470-B-o115/07,A05592303IEKFTEHZJ69N,246652946970837,Brasil,CAMPAIGN_PAUSED,Pausado,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Palavra-Chave- SP-PP-o116/07,A04426873BSWA6HT7N05R,190353171933793,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de palavra chave,Lances dinâmicos (aumento e redução),18/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Produto Indicado- P4080-o115/07,A10360623E6QD7H1YIEUR,81989474043493,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
ATIVADO,campanha automatica geral DBA-o59/09,A042876428VGWH4OWHGR5,230543495581941,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Amazon,Campanha automatica geral,Lances dinâmicos (aumento e redução),12/06/2026,,0,"R$ 90,00","R$ 90,00",CPC,0,,,90,0,"0,0079","R$ 0,66","R$ 0,66",,,0,0,"R$ 59,12","R$ 59,12",,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,2.2479702300405955,0,,,0,0,,,0,,<5%
PAUSADO,Campanha de Categoria- PG3070-o108/07,A01074212AY7Q4K6ISKNZ,134865889354152,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 5,00","R$ 5,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
PAUSADO,Campanha de Categoria- L2470-CZ-o108/07,A01430323616QC2QCNQ,115365555513430,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,0,"R$ 10,00","R$ 10,00",CPC,0,,,0,0,0,,,,,0,0,"R$ 0,00","R$ 0,00",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,,,0,,0
