ASIN (parent),ASIN (child),Título,Sessões - Total,Porcentagem de sessões – Total,Visualizações da página - Total,Porcentagem de visualizações de páginas – Total,Porcentagem de Ofertas em destaque,Unidades pedidas,Porcentagem de sessão de unidade,Vendas de produtos pedidos,Total de itens do pedido
B0H4S3FHG6,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,4,1.37%,6,1.68%,100.00%,1,25.00%,"R$ 203,54",1
B0H4S7ZKXS,B0H4S7ZKXS,Suporte de Chão para Extintor de Incêndio de 4 kg em Aço Inox 16x31 cm Redondo Porta Extintor,10,3.44%,10,2.79%,100.00%,1,10.00%,"R$ 167,89",1
B0H6C5CTSC,B0H6C5CTSC,Lixeira de Aço Inox com Tampa 7 Litros 20x25 cm Redonda Prateada para Banheiro e Cozinha,25,8.59%,37,10.34%,100.00%,1,4.00%,"R$ 132,90",1
B0H3MGC36H,B0H3MGC36H,Coletor de Bitucas Space Torre em Aço Inox Polido com Tampa para Áreas Internas e Externas,2,0.69%,2,0.56%,100.00%,0,0.00%,"R$ 0,00",0
B0H3QLGVX5,B0H3QLGVX5,Cinzeiro Lixeira em Aço Inox 30 Litros 24x70 cm Redonda com Aro para Áreas Externas,1,0.34%,1,0.28%,100.00%,0,0.00%,"R$ 0,00",0
B0H3QQLFFY,B0H3QQLFFY,Lixeira de Aço Inox com Tampa 3 Litros 16x18 cm Redonda para Pia Cozinha e Banheiro,30,10.31%,43,12.01%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NLBG1Y,B0H4NLBG1Y,Lixeira de Aço Inox com Pedal 50 Litros 30x60 cm Redonda Prateada para Cozinha Escritório,15,5.15%,20,5.59%,100.00%,0,0.00%,"R$ 0,00",0
B0H4NRG51Q,B0H4NRG51Q,Lixeira de Aço Inox com Aro Polido 3 Litros 16x18 cm Redonda para Banheiro e Escritório,1,0.34%,1,0.28%,100.00%,0,0.00%,"R$ 0,00",0
B0H4RV67FF,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,7,2.41%,9,2.51%,100.00%,0,0.00%,"R$ 0,00",0
B0H4W81CPN,B0H4W81CPN,Lixeira Basculante em Aço Inox 30 Litros 24x70 cm Redonda Vai e Vem para Uso Interno,3,1.03%,4,1.12%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WLDNYD,B0H4WLDNYD,Ensacador de Guarda-Chuva em Aço Inox com 150 Saquinhos Plásticos para Uso Interno,5,1.72%,5,1.40%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WPPLZB,B0H4WPPLZB,Lixeira em Aço Inox 7 Litros 20x25 cm Redonda Sem Tampa para Pia Banheiro e Cozinha,1,0.34%,1,0.28%,100.00%,0,0.00%,"R$ 0,00",0
B0H4WYYG1W,B0H4WYYG1W,"Lixeira com Pedal em Aço Inox 5 Litros 16x23 cm Redonda para Banheiro, Cozinha e Lavabo",2,0.69%,2,0.56%,100.00%,0,0.00%,"R$ 0,00",0
B0H4X43F5T,B0H4X43F5T,Lixeira Basculante Quadrada em Aço Inox 15 Litros 24x30 centímetros com Tampa Vai e Vem,4,1.37%,4,1.12%,100.00%,0,0.00%,"R$ 0,00",0
B0H4X46QCC,B0H4X46QCC,Coletor de Pilhas e Baterias Usadas Aço Inox 27 Litros 24x60 cm Papa Pilhas para Empresas,2,0.69%,3,0.84%,100.00%,0,0.00%,"R$ 0,00",0
B0H51M7C59,B0H51M7C59,Lixeira Basculante Quadrada em Aço Inox 50 Litros 30x60 centímetros com Tampa Vai e Vem,4,1.37%,4,1.12%,100.00%,0,0.00%,"R$ 0,00",0
B0H51P391G,B0H51P391G,Lixeira Aro Quadrada em Aço Inox 50 Litros 30x60 centímetros Prateada para Uso Interno,2,0.69%,2,0.56%,100.00%,0,0.00%,"R$ 0,00",0
B0H51PF33S,B0H51PF33S,Lixeira Basculante Redonda em Aço Inox 60 Litros 30x85 centímetros Prateada Vai e Vem,3,1.03%,5,1.40%,100.00%,0,0.00%,"R$ 0,00",0
B0H52SC552,B0H52SC552,Lixeira de Embutir para Pia em Aço Inox 03 Litros com Tampa para Bancada Pequena,1,0.34%,1,0.28%,100.00%,0,0.00%,"R$ 0,00",0
B0H5LJ939G,B0H5LJ939G,Lixeira com Pedal e Alça em Aço Inox 50 Litros 30x60 cm Redonda para Uso Interno,1,0.34%,1,0.28%,100.00%,0,0.00%,"R$ 0,00",0
B0H5M7DCH6,B0H5M7DCH6,Lixeira Basculante em Aço Inox 20 Litros 24x40 cm Redonda Flip Top para Cozinha e Banheiro,1,0.34%,1,0.28%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MDZQDG,B0H5MDZQDG,Porta Guarda-Chuva em Aço Inox 24x60 cm Suporte para Guarda Chuvas Recepção e Escritório,5,1.72%,5,1.40%,100.00%,0,0.00%,"R$ 0,00",0
B0H5MGK37B,B0H5MGK37B,Lixeira Basculante em Aço Inox 30 Litros 30x40 cm Redonda Flip Top para Uso Interno,1,0.34%,1,0.28%,100.00%,0,0.00%,"R$ 0,00",0
