Estado,Nome da campanha,Código do status,Status,Tipo,Segmentação,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Compras,Vendas (convertido),Vendas,ACOS,ROAS,Alcance por domicílio
ATIVADO,Campanha - Extintor Palavra-Chave Exato Manual,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Campanhas Manuais Claude,Lances fixos,29/07/2026,,,"R$ 8,00","R$ 8,00",68,"84,21%","0,75",4,"0,0588","R$ 2,86","R$ 2,86","R$ 0,71","R$ 0,71",1,"R$ 203,54","R$ 203,54","0,0141",71.16783216783217,
ATIVADO,campanha automatica geral DBA-o311/08,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Campanha automatica geral,Lances dinâmicos (aumento e redução),12/06/2026,,,"R$ 90,00","R$ 90,00",27235,<5%,0,155,"0,0057","R$ 111,50","R$ 111,50","R$ 0,72","R$ 0,72",1,"R$ 132,90","R$ 132,90","0,8390",1.191928251121076,
PAUSADO,Campanha de Categoria- L2470-B-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- L1618-T-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- L2030-B-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 5,00","R$ 5,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- L2440-AML-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- SP-FF-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- L2470-CZ-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- SP-01-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- SP-PP-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),18/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- PXM-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,campanha de categoria- P3060-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),12/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- P3070-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- PXP-o103/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 10,00","R$ 10,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
PAUSADO,Campanha de Categoria- PG3070-o108/07,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,campanha de categoria,Lances dinâmicos (aumento e redução),15/06/2026,,,"R$ 5,00","R$ 5,00",0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,"R$ 0,00","R$ 0,00",0,0,
