ID do portfólio,Nome do portfólio,Identificador da campanha,Nome da campanha,Valor do orçamento da campanha,Tipo de orçamento da campanha,Estratégia de lances da campanha,Moeda do orçamento,Intervalo de datas,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra
99873185432506,Campanhas Manuais Claude,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,5,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,332,7,2.1084%,1.61286,11.29,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""78244851008766""",Campanha automática individual EGC,5,DAILY_BUDGET,manual,BRL,24 de ago. de 2026 - 31 de ago. de 2026,547,1,0.1828%,0.73000,0.73,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,10,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,205,0,0.0000%,,0.00,0.00,,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,5,DAILY_BUDGET,manual,BRL,24 de ago. de 2026 - 31 de ago. de 2026,88,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,20,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,6174,17,0.2753%,1.04353,17.74,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""58296046930587""",campanha automática individual- PG3070-o425/08,10,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 25 de ago. de 2026,9,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 25 de ago. de 2026,15,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 25 de ago. de 2026,35,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,172,0,0.0000%,,0.00,0.00,,0,0,0.0000%
264141269671834,Campanha automatica geral,"=""230543495581941""",campanha automatica geral DBA-o311/08,90,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,27241,155,0.5690%,0.71935,111.50,132.90,1.19193,1,1,0.0037%
99873185432506,Campanhas Manuais Claude,"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,5,DAILY_BUDGET,manual,BRL,24 de ago. de 2026 - 31 de ago. de 2026,41,0,0.0000%,,0.00,0.00,,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""227485829194320""",Campanha - Manual Bituqueiras Space,6,DAILY_BUDGET,manual,BRL,24 de ago. de 2026 - 30 de ago. de 2026,13,1,7.6923%,0.82000,0.82,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""234950194216241""",campanha automática individual- SP-PP-o425/08,10,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,11074,6,0.0542%,1.21167,7.27,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""157934729939405""",Campanha automática inidividual- L1618-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,11,0,0.0000%,,0.00,0.00,,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""128467924533879""",Campanha - Extintor Palavra-Chave Exato Manual,8,DAILY_BUDGET,manual,BRL,24 de ago. de 2026 - 31 de ago. de 2026,68,4,5.8824%,0.71500,2.86,203.54,71.16783,1,1,1.4706%
1383289894499,campanha automatica individual,"=""163724971822822""",campanha automática individual- PXM-o425/08,20,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,556,2,0.3597%,1.01000,2.02,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,169,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,10,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,428,2,0.4673%,0.55500,1.11,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,20,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 25 de ago. de 2026,36,0,0.0000%,,0.00,0.00,,0,0,0.0000%
1383289894499,campanha automatica individual,"=""60867425277707""",campanha automática inidividual- PXP-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,24 de ago. de 2026 - 31 de ago. de 2026,556,2,0.3597%,0.66000,1.32,0.00,0.00000,0,0,0.0000%
