Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
24 de ago. de 2026 - 31 de ago. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,L2430-B,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,54,1,1.8519%,1.25000,1.25,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2430-B,B0H6KY3BZD,Lixeira Basculante em Aço Inox Redonda 15 Litros 24x30 cm Vai e Vem para Uso Interno,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,292,1,0.3425%,0.79000,0.79,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L4075-B,B0H6H2BTKC,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,486,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2025-B,B0H6L3552G,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,200,1,0.5000%,0.80000,0.80,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,L2025-B,B0H6L3552G,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,65,1,1.5385%,1.78000,1.78,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L1623-T,B0H6C894TV,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,239,3,1.2552%,0.76667,2.30,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,EMB-08,B0H77M42RM,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,412,1,0.2427%,0.60000,0.60,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P4080ALC,B0H72HJC34,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,763,3,0.3932%,0.67000,2.01,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P2430,B0H7KWNLZ4,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,539,3,0.5566%,0.78667,2.36,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L1623-A,B0H6XX9VYL,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,145,1,0.6897%,0.54000,0.54,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,EMB-03P,B0H73CH37Y,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,297,0,0.0000%,,0.00,0.00,,0,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P3050ALC,B0H6C92MLT,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,343,0,0.0000%,,0.00,0.00,,0,0,
