Data inicial,Data de término,País,Termo de pesquisa do cliente,Classificação de impressão de termo de pesquisa,Parcela de impressões de termo de pesquisa,Palavra-chave,Tipo de correspondência,Nome do portfólio,Nome da campanha,Nome do grupo de anúncios,Moeda,Cliques,Impressões,Taxa de cliques (CTR),Gastos,Custo por clique (CPC),Total de pedidos em 7 dias (N.º),"Total de vendas em 7 dias ","Total do custo de publicidade das vendas (ACOS) ",Retorno total sobre gastos com anúncios (ROAS),Taxa de conversão em 7 dias
"Aug 08, 2026","Sep 06, 2026",Brasil,b0bhmzbzw9,2,13.870%,"asin-expanded=""B0BHMZBZW9""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,19,5.260%,R$1.01,R$1.01,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0bhmzbzw9,2,13.870%,"asin-expanded=""B0CYWMQ93Y""",-,campanha de produto indicado,Campanha de Produto Indicado- P3050-o425/08,Campanha de Produto Indicado- P3050-o425/08,BRL,1,25,4.000%,R$0.66,R$0.66,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0bhmzbzw9,2,13.870%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,9,416,2.160%,R$6.23,R$0.69,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,papel de parede,67,0.060%,*,-,campanha automatica individual,campanha automática individual- SP-PP-o425/08,campanha automática individual- SP-PP-o425/08,BRL,1,393,0.250%,R$0.82,R$0.82,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,relogio de parede,65,0.100%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,1,23,4.3499999999999994%,R$0.8,R$0.8,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,relogio de parede,65,0.100%,*,-,campanha automatica individual,campanha automática individual- SP-PP-o425/08,campanha automática individual- SP-PP-o425/08,BRL,1,287,0.350%,R$1.2,R$1.2,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b076vynp9w,1,76.470%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,14,260,5.380%,R$6.3,R$0.45,1,R$132.9,4.740%,21.1,7.140%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira banheiro 7 litros,1,79.050%,lixeira banheiro 7 litros,EXACT,Campanhas Manuais Claude,Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,Campanha de Palavra-Chave Lixeiras banheiro-O425/08,BRL,7,166,4.220%,R$11.71,R$1.67,1,R$265.8,4.410%,22.7,14.290%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira grande,30,0.530%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,7,147,4.7600000000000006%,R$4.82,R$0.69,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira inox para pia de cozinha,1,92.970%,lixeira inox para pia de cozinha,EXACT,Campanhas Manuais Claude,Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,Campanha de Palavra-Chave Lixeiras banheiro-O425/08,BRL,6,119,5.040%,R$8.98,R$1.5,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,placa adesiva para parede,14,1.0699999999999999%,*,-,campanha automatica individual,campanha automática individual- SP-PP-o425/08,campanha automática individual- SP-PP-o425/08,BRL,2,105,1.900%,R$2.5,R$1.25,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0cfgbgqlw,2,16.280%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,3,103,2.910%,R$2.33,R$0.78,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0cfgbgqlw,2,16.280%,"asin-expanded=""B0CFGBGQLW""",-,campanha de produto indicado,Campanha de Produto Indicado- P4080-o115/07,Campanha de Produto Indicado- P4080-o115/07,BRL,1,1,100.000%,R$0.82,R$0.82,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0gr21djc2,9,3.100%,"asin-expanded=""B0BKRC75MM""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,2,50.000%,R$1.1,R$1.1,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0gr21djc2,9,3.100%,"asin-expanded=""B0BSNVT11K""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,1,6,16.669999999999998%,R$1.05,R$1.05,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0gr21djc2,9,3.100%,"asin-expanded=""B0GWJZTXFG""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,2,77,2.600%,R$2.15,R$1.07,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b0gr21djc2,9,3.100%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,3,17,17.649999999999998%,R$2.4,R$0.8,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira 30l,12,1.220%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,4,101,3.9600000000000006%,R$3.19,R$0.8,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,b09ydlc69d,9,2.1999999999999997%,"asin-expanded=""B09YDLC69D""",-,campanha de produto indicado,Campanha de Produto Indicado- P3070-o228/07,Campanha de Produto Indicado- P3070-o228/07,BRL,5,77,6.490%,R$6.31,R$1.26,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira basculante 50 litros,1,42.440%,*,-,Campanha automatica geral,campanha automatica geral DBA-o311/08,Campanha automatica geral DBA-o311/08,BRL,4,19,21.050%,R$2.13,R$0.53,0,R$0.0,,0.0,0.000%
"Aug 08, 2026","Sep 06, 2026",Brasil,lixeira basculante 50 litros,1,42.440%,lixeira basculante 50 litros,EXACT,Campanhas Manuais Claude,Campanha Manual Palavra-Chave L3070-B,Campanha Manual Palavra-Chave L3070-B,BRL,3,54,5.560%,R$2.4,R$0.8,0,R$0.0,,0.0,0.000%
