Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
23 de ago. de 2026 - 27 de ago. de 2026,cesto de lixo chic para lavabo,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,2,1,0.39000,50.0000%,0.39,0.00,0.00000,0,0,0.0000%
13 de ago. de 2026 - 6 de set. de 2026,lixeira com pedal 50 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3060,BRL,10,1,0.36000,10.0000%,0.36,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 10 de ago. de 2026,lixeira basculante 3l,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-B,BRL,2,1,0.82000,50.0000%,0.82,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 6 de set. de 2026,porta guarda chuva,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,PG2460,BRL,365,1,0.80000,0.2740%,0.80,0.00,0.00000,0,0,0.0000%
4 de set. de 2026 - 4 de set. de 2026,lixeira redonda banheiro,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-B,BRL,1,1,0.64000,100.0000%,0.64,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 5 de set. de 2026,B0H4NLBG1Y,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0H5LJ939G""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,9,1,0.90000,11.1111%,0.90,0.00,0.00000,0,0,0.0000%
5 de set. de 2026 - 5 de set. de 2026,lixeira 5 l com tampa com aro dentro,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,3,1,0.39000,33.3333%,0.39,0.00,0.00000,0,0,0.0000%
26 de ago. de 2026 - 26 de ago. de 2026,lixeira basculante 50 litros sanremo,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q3060-B,BRL,1,1,0.69000,100.0000%,0.69,0.00,0.00000,0,0,0.0000%
10 de ago. de 2026 - 10 de ago. de 2026,lixeira de aço inox com tampa 5 litros,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,1,1,0.68000,100.0000%,0.68,0.00,0.00000,0,0,0.0000%
11 de ago. de 2026 - 6 de set. de 2026,lixeira inox para pia de cozinha,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,lixeira inox para pia de cozinha,EXACT,99873185432506,Campanhas Manuais Claude,L2430-B,BRL,60,2,1.24500,3.3333%,2.49,0.00,0.00000,0,0,0.0000%
8 de ago. de 2026 - 6 de set. de 2026,lixeira banheiro inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,65,1,0.71000,1.5385%,0.71,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 20 de ago. de 2026,lixeira 25l click,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,Q2460-B,BRL,1,1,0.42000,100.0000%,0.42,0.00,0.00000,0,0,0.0000%
31 de ago. de 2026 - 31 de ago. de 2026,lixeira 5l inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1623-T,BRL,2,1,0.74000,50.0000%,0.74,0.00,0.00000,0,0,0.0000%
31 de ago. de 2026 - 31 de ago. de 2026,coletor de pilhas e baterias usadas aço inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2460-CP,BRL,1,1,0.75000,100.0000%,0.75,0.00,0.00000,0,0,0.0000%
27 de ago. de 2026 - 30 de ago. de 2026,lata de lixo inox,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3070,BRL,2,1,0.80000,50.0000%,0.80,0.00,0.00000,0,0,0.0000%
15 de ago. de 2026 - 5 de set. de 2026,lixo de banheiro,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,18,1,0.75000,5.5556%,0.75,0.00,0.00000,0,0,0.0000%
9 de ago. de 2026 - 3 de set. de 2026,pilha recarregavel,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2460-CP,BRL,41,1,0.80000,2.4390%,0.80,0.00,0.00000,0,0,0.0000%
