Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Estratégia de lances do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do segmento,Lance do segmento,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,Compras,Taxa de compra em relação aos cliques,Unidades vendidas,ROAS
13 de jun. de 2026 - 22 de ago. de 2026,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""162752730016997""",campanha de produto indicado-P3060-o115/07,,"asin-expanded=""B01M0RM7M9""",TARGETING_EXPRESSION,188523215946847,0.55,146788124202114,campanha de produto indicado,BRL,165,1,0.6061%,1.00000,1.00,0.00,0,0.0000%,0,0.00000
4 de jul. de 2026 - 9 de ago. de 2026,"=""19556674217425""",Campanha de Palavra-Chave- P3070-o116/07,"=""193722055453991""",Campanha de Palavra-Chave- P3070-o116/07,,lixeira inox para banheiro,EXACT,26322701583293,1.32,178029480993742,campanha de palavra chave,BRL,6,0,0.0000%,,0.00,0.00,0,,0,
21 de jun. de 2026 - 11 de ago. de 2026,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""113839187289861""",Campanha de Produto Indicado- P3050-o425/08,,"asin-expanded=""B0CFG9ZHWF""",TARGETING_EXPRESSION,15782193727587,0.55,146788124202114,campanha de produto indicado,BRL,256,1,0.3906%,1.09000,1.09,0.00,0,0.0000%,0,0.00000
16 de jun. de 2026 - 10 de ago. de 2026,"=""220339920491993""",Campanha de Produto Indicado- L1618-A-o103/07,"=""216344585748751""",Campanha de Produto Indicado- L1618-A-o103/07,,"asin-expanded=""B0H2KJBVGY""",TARGETING_EXPRESSION,225002641809687,0.58,146788124202114,campanha de produto indicado,BRL,12,0,0.0000%,,0.00,0.00,0,,0,
15 de jun. de 2026 - 29 de jul. de 2026,"=""227010809046493""",campanha automática individual- L2470-CZ-o102/07,"=""481100214225083""",campanha automática individual- L2470-CZ-o102/07,,close-match,TARGETING_EXPRESSION_PREDEFINED,317773898164642,1.1,1383289894499,campanha automatica individual,BRL,1515,2,0.1320%,1.49500,2.99,0.00,0,0.0000%,0,0.00000
23 de jun. de 2026 - 7 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0H1TYSM8J""",TARGETING_EXPRESSION,238124961522086,1.1,146788124202114,campanha de produto indicado,BRL,69,0,0.0000%,,0.00,0.00,0,,0,
16 de jun. de 2026 - 29 de jul. de 2026,"=""70230654464817""",Campanha de Produto Indicado- L2440-AML-o103/07,"=""202389980731948""",Campanha de Produto Indicado- L2440-AML-o103/07,,"asin-expanded=""B085ZX7344""",TARGETING_EXPRESSION,23403606962047,1.1,146788124202114,campanha de produto indicado,BRL,30,0,0.0000%,,0.00,0.00,0,,0,
16 de jun. de 2026 - 14 de jul. de 2026,"=""98086879114039""",Campanha de Produto Indicado- L2470-B-o115/07,"=""38205454685839""",Campanha de Produto Indicado- L2470-B-o115/07,,"asin-expanded=""B0GXBSQ55M""",TARGETING_EXPRESSION,3845511874445,0.55,146788124202114,campanha de produto indicado,BRL,26,1,3.8462%,0.97000,0.97,0.00,0,0.0000%,0,0.00000
30 de jul. de 2026 - 5 de set. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin=""B0D1S21PK1""",TARGETING_EXPRESSION,236055668768176,0.9,146788124202114,campanha de produto indicado,BRL,6,0,0.0000%,,0.00,0.00,0,,0,
21 de jun. de 2026 - 20 de ago. de 2026,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""162752730016997""",campanha de produto indicado-P3060-o115/07,,"asin-expanded=""B076TFGQZ7""",TARGETING_EXPRESSION,266363124189478,0.55,146788124202114,campanha de produto indicado,BRL,207,1,0.4831%,0.60000,0.60,0.00,0,0.0000%,0,0.00000
