Estado,Nome da campanha,País,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Visualizações da página de detalhes,Visualizações da página da Brand Store,Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Alcance do usuário,Alcance por domicílio,Impressões visíveis,CPM (convertido),CPM,CPM visível (vCPM) (convertido),CPM visível (vCPM),Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Distribuição visível,CTR visível (vCTR)
ATIVADO,Campanha - Manual Bituqueiras Space,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances fixos,11/08/2026,,,"R$ 6,00","R$ 6,00",CPC,0,>95%,"0,50",1,"0,0435","R$ 0,09","R$ 0,09","R$ 0,09","R$ 0,09",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha automática individual EGC,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances fixos,11/08/2026,,,"R$ 5,00","R$ 5,00",CPC,0,0,0,1,"0,0004","R$ 0,73","R$ 0,73","R$ 0,73","R$ 0,73",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha Manual Palavra-Chave L3070-B,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances fixos,11/08/2026,,,"R$ 5,00","R$ 5,00",CPC,0,"27,40%","0,25",0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Palavra-Chave Cinzeiros,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances fixos,29/07/2026,,,"R$ 5,00","R$ 5,00",CPC,0,>95%,"0,50",0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances dinâmicos (aumento e redução),29/07/2026,,,"R$ 5,00","R$ 5,00",CPC,0,"53,97%","0,25",11,"0,0141","R$ 17,62","R$ 17,62","R$ 1,60","R$ 1,60",0,0,1,"R$ 265,80","R$ 265,80",0,15.085130533484676,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha - Extintor Palavra-Chave Exato Manual,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances fixos,29/07/2026,,,"R$ 8,00","R$ 8,00",CPC,0,"90,91%","0,75",1,"0,0123","R$ 0,81","R$ 0,81","R$ 0,81","R$ 0,81",0,0,1,"R$ 203,54","R$ 203,54",0,251.28395061728392,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- P4080-o115/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Produto Indicado- P3070-o228/07,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 20,00","R$ 20,00",CPC,0,<5%,0,30,"0,0022","R$ 34,41","R$ 34,41","R$ 1,15","R$ 1,15",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- P4080-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- P3070-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
