Estado,Nome da campanha,País,Código do status,Status,Tipo,Segmentação,Varejista,Nome do portfólio,Estratégia de lances da campanha,Data de início da campanha,Data de término da campanha,Média de tempo dentro do orçamento,Valor do orçamento da campanha (convertido),Valor do orçamento da campanha,Tipo de custo,Impressões,Parcela de impressões no topo da pesquisa,Ajuste de lance para o topo da pesquisa,Cliques,CTR,Custo total (convertido),Custo total,CPC (convertido),CPC,Visualizações da página de detalhes,Visualizações da página da Brand Store,Compras,Vendas (convertido),Vendas,ACOS,ROAS,Compras (clientes novos para a marca),Percentual de compras de clientes novos para a marca,Vendas (clientes novos para a marca) (convertido),Vendas (clientes novos para a marca),Percentual de vendas novas para a marca,Vendas a longo prazo (convertido),Vendas a longo prazo,ROAS de longo prazo,Alcance do usuário,Alcance por domicílio,Impressões visíveis,CPM (convertido),CPM,CPM visível (vCPM) (convertido),CPM visível (vCPM),Primeiro quartil (anúncio de vídeo),Metade (anúncio de vídeo),Terceiro quartil (anúncios de vídeo),Visualizações concluídas (anúncios de vídeo),Ativações do som (anúncios de vídeo),Distribuição visível,CTR visível (vCTR)
ATIVADO,Campanha - Manual Bituqueiras Space,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances fixos,11/08/2026,,,"R$ 6,00","R$ 6,00",CPC,0,>95%,"0,50",2,"0,0408","R$ 0,91","R$ 0,91","R$ 0,45","R$ 0,45",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha automática individual EGC,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,AUTOMATIC,Amazon,campanha automatica individual,Lances fixos,11/08/2026,,,"R$ 5,00","R$ 5,00",CPC,0,0,0,4,"0,0014","R$ 2,66","R$ 2,66","R$ 0,66","R$ 0,66",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha Manual Palavra-Chave L3070-B,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances dinâmicos (aumento e redução),11/08/2026,,,"R$ 5,00","R$ 5,00",CPC,0,"26,23%","0,25",4,"0,0138","R$ 3,50","R$ 3,50","R$ 0,88","R$ 0,88",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Palavra-Chave Cinzeiros,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances fixos,29/07/2026,,,"R$ 5,00","R$ 5,00",CPC,0,"45,00%","0,50",1,"0,0057","R$ 0,28","R$ 0,28","R$ 0,28","R$ 0,28",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances dinâmicos (aumento e redução),29/07/2026,,,"R$ 5,00","R$ 5,00",CPC,0,"42,45%","0,25",20,"0,0108","R$ 32,19","R$ 32,19","R$ 1,61","R$ 1,61",0,0,1,"R$ 265,80","R$ 265,80",0,8.257222739981362,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha - Extintor Palavra-Chave Exato Manual,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,Campanhas Manuais Claude,Lances fixos,29/07/2026,,,"R$ 8,00","R$ 8,00",CPC,0,"72,79%","0,75",6,"0,0151","R$ 5,35","R$ 5,35","R$ 0,89","R$ 0,89",0,0,2,"R$ 505,74","R$ 505,74",0,94.53084112149533,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Produto Indicado- P4080-o115/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,"5,86%",0,39,"0,0032","R$ 38,73","R$ 38,73","R$ 0,99","R$ 0,99",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
ATIVADO,Campanha de Produto Indicado- P3070-o228/07,Brasil,CAMPAIGN_STATUS_ENABLED,Em inserção,SP,MANUAL,Amazon,campanha de produto indicado,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 20,00","R$ 20,00",CPC,0,<5%,0,100,"0,0027","R$ 109,60","R$ 109,60","R$ 1,10","R$ 1,10",0,0,1,"R$ 616,18","R$ 616,18",0,5.622080291970802,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- P4080-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,14,"0,0010","R$ 10,12","R$ 10,12","R$ 0,72","R$ 0,72",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
PAUSADO,Campanha de Categoria- P3070-o108/07,Brasil,CAMPAIGN_PAUSED,Pausado,SP,MANUAL,Amazon,campanha de categoria,Lances dinâmicos (aumento e redução),19/06/2026,,,"R$ 10,00","R$ 10,00",CPC,0,<5%,0,10,"0,0012","R$ 8,45","R$ 8,45","R$ 0,85","R$ 0,85",0,0,0,"R$ 0,00","R$ 0,00",0,0,0,0,,,0,,,0,,,0,,,,,0,0,0,0,0,0,0
