ID do portfólio,Nome do portfólio,Identificador da campanha,Nome da campanha,Valor do orçamento da campanha,Tipo de orçamento da campanha,Estratégia de lances da campanha,Moeda do orçamento,Intervalo de datas,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra
146788124202114,campanha de produto indicado,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,10,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 9 de set. de 2026,1025,5,0.4878%,0.57800,2.89,0.00,0.00000,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,5,DAILY_BUDGET,manual,BRL,23 de ago. de 2026 - 20 de set. de 2026,171,1,0.5848%,1.56000,1.56,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 20 de set. de 2026,474,6,1.2658%,0.67667,4.06,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 20 de set. de 2026,798,2,0.2506%,0.53000,1.06,519.03,489.65094,1,3,0.1253%
146788124202114,campanha de produto indicado,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,20,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 20 de set. de 2026,42073,82,0.1949%,1.25890,103.23,616.18,5.96900,1,1,0.0024%
99873185432506,Campanhas Manuais Claude,"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,5,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 20 de set. de 2026,268,2,0.7463%,0.99000,1.98,0.00,0.00000,0,0,0.0000%
264141269671834,Campanha automatica geral,"=""230543495581941""",campanha automatica geral DBA-o59/09,90,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 20 de set. de 2026,64880,432,0.6658%,0.66234,286.13,1296.96,4.53277,7,7,0.0108%
1383289894499,campanha automatica individual,"=""163724971822822""",campanha automática individual- PXM-o425/08,20,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 9 de set. de 2026,1226,3,0.2447%,1.11000,3.33,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""60867425277707""",campanha automática inidividual- PXP-o311/08,40,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 20 de set. de 2026,2113,15,0.7099%,0.84733,12.71,151.10,11.88828,1,1,0.0473%
146788124202114,campanha de produto indicado,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,10,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 9 de set. de 2026,548,1,0.1825%,0.99000,0.99,0.00,0.00000,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""128467924533879""",Campanha - Extintor Palavra-Chave Exato Manual,8,DAILY_BUDGET,manual,BRL,22 de ago. de 2026 - 17 de set. de 2026,201,6,2.9851%,0.89167,5.35,203.54,38.04486,1,1,0.4975%
146788124202114,campanha de produto indicado,"=""54057381293334""",campanha de produto indicado-P3060-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 25 de ago. de 2026,64,0,0.0000%,,0.00,0.00,,0,0,0.0000%
1383289894499,campanha automatica individual,"=""234950194216241""",campanha automática individual- SP-PP-o59/09,10,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 20 de set. de 2026,29085,14,0.0481%,1.16429,16.30,0.00,0.00000,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,5,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 20 de set. de 2026,2036,21,1.0314%,1.73762,36.49,265.80,7.28419,1,2,0.0491%
1383289894499,campanha automatica individual,"=""58296046930587""",campanha automática individual- PG3070-o425/08,10,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 25 de ago. de 2026,15,0,0.0000%,,0.00,0.00,,0,0,0.0000%
1383289894499,campanha automatica individual,"=""157934729939405""",Campanha automática inidividual- L1618-o115/07,10,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 31 de ago. de 2026,12,0,0.0000%,,0.00,0.00,,0,0,0.0000%
99873185432506,Campanhas Manuais Claude,"=""227485829194320""",Campanha - Manual Bituqueiras Space,6,DAILY_BUDGET,manual,BRL,24 de ago. de 2026 - 18 de set. de 2026,34,2,5.8824%,0.45500,0.91,0.00,0.00000,0,0,0.0000%
1383289894499,campanha automatica individual,"=""78244851008766""",Campanha automática individual EGC,5,DAILY_BUDGET,manual,BRL,22 de ago. de 2026 - 20 de set. de 2026,8534,11,0.1289%,0.76000,8.36,0.00,0.00000,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,20,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 25 de ago. de 2026,133,0,0.0000%,,0.00,0.00,,0,0,0.0000%
146788124202114,campanha de produto indicado,"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,10,DAILY_BUDGET,optimizeForSales,BRL,22 de ago. de 2026 - 25 de ago. de 2026,55,0,0.0000%,,0.00,0.00,,0,0,0.0000%
