Identificador da campanha,Nome da campanha,ID da conta do anunciante,Produto de anúncio,Intervalo de datas,Moeda do orçamento,Parcela de impressões no topo da pesquisa,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas
"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 20 de set. de 2026,BRL,54.6906%,2036,21,1.0314%,1.73762,36.49,265.80,7.28419,1,2
"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 9 de set. de 2026,BRL,9.2618%,1025,5,0.4878%,0.57800,2.89,0.00,0.00000,0,0
"=""128467924533879""",Campanha - Extintor Palavra-Chave Exato Manual,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 17 de set. de 2026,BRL,88.2353%,201,6,2.9851%,0.89167,5.35,203.54,38.04486,1,1
"=""157934729939405""",Campanha automática inidividual- L1618-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 31 de ago. de 2026,BRL,0.0000%,12,0,0.0000%,,0.00,0.00,,0,0
"=""160875308766462""",Campanha de Palavra-Chave Cinzeiros,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,23 de ago. de 2026 - 20 de set. de 2026,BRL,14.8148%,171,1,0.5848%,1.56000,1.56,0.00,0.00000,0,0
"=""163724971822822""",campanha automática individual- PXM-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 9 de set. de 2026,BRL,0.6637%,1226,3,0.2447%,1.11000,3.33,0.00,0.00000,0,0
"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 20 de set. de 2026,BRL,0.8771%,42073,82,0.1949%,1.25890,103.23,616.18,5.96900,1,1
"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,24 de ago. de 2026 - 18 de set. de 2026,BRL,95.0000%,34,2,5.8824%,0.45500,0.91,0.00,0.00000,0,0
"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 20 de set. de 2026,BRL,1.1641%,64880,432,0.6658%,0.66234,286.13,1296.96,4.53277,7,7
"=""234950194216241""",campanha automática individual- SP-PP-o59/09,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 20 de set. de 2026,BRL,0.1397%,29085,14,0.0481%,1.16429,16.30,0.00,0.00000,0,0
"=""3262494915796""",Campanha de Produto Indicado- P3050-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 25 de ago. de 2026,BRL,0.1166%,133,0,0.0000%,,0.00,0.00,,0,0
"=""39066415309857""",Campanha de Produto Indicado- PXP-o103/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 25 de ago. de 2026,BRL,0.0000%,55,0,0.0000%,,0.00,0.00,,0,0
"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 20 de set. de 2026,BRL,9.3379%,474,6,1.2658%,0.67667,4.06,0.00,0.00000,0,0
"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 20 de set. de 2026,BRL,30.5556%,268,2,0.7463%,0.99000,1.98,0.00,0.00000,0,0
"=""54057381293334""",campanha de produto indicado-P3060-o115/07,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 25 de ago. de 2026,BRL,6.0150%,64,0,0.0000%,,0.00,0.00,,0,0
"=""58296046930587""",campanha automática individual- PG3070-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 25 de ago. de 2026,BRL,0.0000%,15,0,0.0000%,,0.00,0.00,,0,0
"=""60867425277707""",campanha automática inidividual- PXP-o311/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 20 de set. de 2026,BRL,0.9895%,2113,15,0.7099%,0.84733,12.71,151.10,11.88828,1,1
"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""amzn1.ads-account.g.1gvk8jgf9bw80zfputht5tq6x""",Sponsored Products,22 de ago. de 2026 - 9 de set. de 2026,BRL,1.1019%,548,1,0.1825%,0.99000,0.99,0.00,0.00000,0,0
