Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L1618-A,B0H4NRG51Q,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,235,1,0.4255%,0.57000,0.57,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 31 de ago. de 2026,"=""157934729939405""",Campanha automática inidividual- L1618-o115/07,"=""285629207112751""",campanha automática inidividual- L1618-A-o115/07,L1618-A,B0H4NRG51Q,,AMAZON_BR,1383289894499,campanha automatica individual,BRL,12,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""108804692555847""",Campanha de Palavra-Chave Lixeiras banheiro-O4 25/08,"=""28534619762262""",Campanha de Palavra-Chave Lixeiras banheiro-O425/08,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,296,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,474,6,1.2658%,0.67667,4.06,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L2030-B,B0H4RV67FF,Lixeira Basculante Inox Redonda 10 Litros 20x30 cm para Banheiro Lavabo Cozinha Escritório,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,598,6,1.0033%,0.74500,4.47,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""51867061249884""",Campanha Manual Palavra-Chave L3070-B,"=""37073533131431""",Campanha Manual Palavra-Chave L3070-B,L4080-B,B0H6GSX6YM,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,83,0,0.0000%,,0.00,0.00,,0,0,
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L4080-B,B0H6GSX6YM,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,707,1,0.1414%,0.59000,0.59,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,P3060ALC,B0H5LJ939G,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,530,2,0.3774%,0.80000,1.60,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,L3040-A,B0H5MJTHK2,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,270,1,0.3704%,1.02000,1.02,0.00,0.00000,0,0,0.0000%
22 de ago. de 2026 - 20 de set. de 2026,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,P4050ALC,B0H6GWVPP5,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,429,0,0.0000%,,0.00,0.00,,0,0,
