Estado,Categorias e produtos,Tipo de correspondência de segmentação,Código do status,Status,Lance (BRL),Impressões,Cliques,Custo total (BRL),Compras,Vendas (BRL),ACOS,ROAS
ATIVADO,"asin-expanded=""B0DZV82N4P""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,32,2,1.52,3,497.34,"0,0031",327.1973684210526
ATIVADO,"asin-expanded=""B0GXBSQ55M""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,7,1,0.77,0,0,0,0
ATIVADO,"asin-expanded=""B0H1XDK1ZL""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,0,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076MFYKFM""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,27,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DZV1LTRC""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,0,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B077SNX7MG""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,24,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H37KRPHM""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,29,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H4X43F5T""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,18,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076JLG2PV""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,23,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FCSVZB26""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,6,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0F6TFZFPN""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,75,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H24BDYCK""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,6,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07MHD9HRB""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,24,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FFRR7GWH""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,9,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0F7RN8KDN""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,39,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B077SVW4V4""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,40,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0CW7QKWCS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,14,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0F4T1M1GC""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,42,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076MDSXMC""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,17,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GZLCSS5W""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,25,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GYSQV8ZH""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,24,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0B5RZR8P8""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,23,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GZX6NSY5""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,30,1,1.42,0,0,0,0
ATIVADO,"asin-expanded=""B076JKWNRR""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,8,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FD4ZC7ZH""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,23,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GXP7R9GT""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,3,1,0.79,0,0,0,0
ATIVADO,"asin-expanded=""B0H2FLFLTX""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,25,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076M81W6M""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,6,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0C91QKX4P""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,36,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H51M7C59""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,25,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FLJCGGZW""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,11,1,0.79,0,0,0,0
ATIVADO,"asin-expanded=""B0H51PF33S""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,18,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B093DZ81RY""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,27,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0B871MFX4""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,37,1,0.47,0,0,0,0
ATIVADO,"asin-expanded=""B0B86ZNWSL""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,64,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07CKYJ8XC""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,33,1,0.77,0,0,0,0
ATIVADO,"asin-expanded=""B0BMQVDSSS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,65,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0C3BHBPH1""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,17,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DJPXST91""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,130,1,0.92,0,0,0,0
ATIVADO,"asin-expanded=""B076PQ47W9""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,41,1,0.48,0,0,0,0
ATIVADO,"asin-expanded=""B076T9QLJS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,22,1,0.38,0,0,0,0
ATIVADO,"asin-expanded=""B0DJPY3KRS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,18,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076PKS5GL""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,51,1,0.82,0,0,0,0
ATIVADO,"asin-expanded=""B0DTM9TDSV""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,44,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H1YG8R2B""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,10,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0C4Z53F9C""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,13,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B077V4W7ZN""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,18,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07P6Y41SL""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,22,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076JMDM23""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,57,1,0.55,0,0,0,0
ATIVADO,"asin-expanded=""B0FCSXKJ78""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,32,1,0.79,0,0,0,0
ATIVADO,"asin-expanded=""B076MHHJ4Y""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,39,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DZV96MHK""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,16,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0771V75BL""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,9,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0G4N7T6NS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,56,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0793SXJL2""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,14,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FCSX1NM4""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,48,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GTXKMVSC""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,40,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B078C6GJQT""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,40,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DXRKT74P""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,26,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FPGHMMD7""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,9,1,0.77,0,0,0,0
ATIVADO,"asin-expanded=""B0GYR7DG5S""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,17,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B09B4CZSTQ""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,6,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076VVH2PC""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,13,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FCSV8QLP""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,2,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B08QD2J6VW""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,12,1,0.52,0,0,0,0
ATIVADO,"asin-expanded=""B078B8SF2P""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,26,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076PRGLGT""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,107,1,0.77,0,0,0,0
ATIVADO,"asin-expanded=""B07MBR3Y89""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,11,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076VRQPJQ""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,13,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0G46NH4YR""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,0,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GKLJD5FW""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,26,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07Q8B74Y6""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,42,1,0.79,0,0,0,0
ATIVADO,"asin-expanded=""B0DXRJZBY5""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,64,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076MBQM88""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,39,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07M71552Y""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,14,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07JNRP88B""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,7,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DLQY7Q7J""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,5,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FCSTJMVQ""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,13,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076M6P2L9""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,76,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07GYTMZVK""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,93,1,0.76,0,0,0,0
ATIVADO,"asin-expanded=""B0F6XK9FN1""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,21,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GQD31DXP""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,15,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B076JL7ZMR""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,9,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GXNYQPC2""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,6,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H4RV67FF""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,12,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FNRL7TG1""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.78,21,2,1.1,0,0,0,0
ATIVADO,"asin=""B0H37KRPHM""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,72,0,0,0,0,0,0
ATIVADO,"asin=""B0DTM9TDSV""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,21,0,0,0,0,0,0
ATIVADO,"asin=""B0H75XFRVS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,5,0,0,0,0,0,0
ATIVADO,"asin=""B0GQD31DXP""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,1,0,0,0,0,0,0
ATIVADO,"asin=""B07GYTMZVK""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,10,0,0,0,0,0,0
