Estado,Categorias e produtos,Tipo de correspondência de segmentação,Código do status,Status,Lance (BRL),Impressões,Cliques,Custo total (BRL),Compras,Vendas (BRL),ACOS,ROAS
ATIVADO,"asin-expanded=""B0G9B9RCMF""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1,180,2,2.12,1,616.18,"0,0034",290.65094339622635
ATIVADO,"asin-expanded=""B0H63FKGPJ""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,250,3,4.79,1,616.18,"0,0078",128.63883089770354
ATIVADO,"asin-expanded=""B0F4T8FCDD""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,1220,5,6.31,0,0,0,0
ATIVADO,"asin-expanded=""B0CXVQRPK7""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1,1514,3,3.82,0,0,0,0
ATIVADO,"asin-expanded=""B0GVKKNRW9""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,1496,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0CXTQT2L3""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,2390,4,5.33,0,0,0,0
ATIVADO,"asin-expanded=""B08D8R4GZQ""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1,288,2,3.31,0,0,0,0
ATIVADO,"asin-expanded=""B0GR21DJC2""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,381,1,1.1,0,0,0,0
ATIVADO,"asin-expanded=""B0F8R6DP31""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,1472,1,1.47,0,0,0,0
ATIVADO,"asin-expanded=""B08D8NFYZL""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1,86,1,1.33,0,0,0,0
ATIVADO,"asin-expanded=""B0CXTMVC73""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1,575,4,4.98,0,0,0,0
ATIVADO,"asin-expanded=""B0FRV2T2ZP""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,500,1,1.1,0,0,0,0
ATIVADO,"asin-expanded=""B0CXG9BVZK""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,1978,2,2.13,0,0,0,0
ATIVADO,"asin-expanded=""B0BSNVT11K""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,664,5,7.41,0,0,0,0
ATIVADO,"asin-expanded=""B0H2B7CLLB""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,444,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GVGBRG5N""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,583,1,1.05,0,0,0,0
ATIVADO,"asin-expanded=""B0778TD2LY""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,900,5,4.76,0,0,0,0
ATIVADO,"asin-expanded=""B0CXMLLNXH""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,1206,1,1.58,0,0,0,0
ATIVADO,"asin-expanded=""B0H2KJBVGY""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,523,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0F89DR995""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,388,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GR1WGTHW""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,726,0,0,0,0,0,0
