Estado,Categorias e produtos,Tipo de correspondência de segmentação,Código do status,Status,Lance (BRL),Impressões,Cliques,Custo total (BRL),Compras,Vendas (BRL),ACOS,ROAS
ATIVADO,"asin-expanded=""B0H4S7ZKXS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,88,1,0.63,1,519.03,"0,0012",823.8571428571428
ATIVADO,"asin-expanded=""B089QWJFTH""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,84,2,2.08,1,203.54,"0,0102",97.85576923076923
ATIVADO,"asin-expanded=""B0G1YMYGFM""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,18,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0D7JSB8B6""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,25,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0G497Z2WM""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,149,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GZT4TG3J""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,40,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GY93WHL1""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,0,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07W1157R8""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,104,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GVVNNQT5""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,30,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DPMZB1SP""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,8,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GVRMVZ68""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,10,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DWG1VSL4""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,23,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GWH14V9V""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,72,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0G611KRHL""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,72,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07FQ3DL5N""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,0,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0F8BDRT3V""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,67,1,0.59,0,0,0,0
ATIVADO,"asin-expanded=""B0DFHN35SC""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,15,1,0.08,0,0,0,0
ATIVADO,"asin-expanded=""B0D7QQBVG1""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,75,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0FDFDTF3D""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,234,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0F7QXJD1L""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,28,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DGCPY873""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,11,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0D85CTBJT""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,213,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H2VY5ZDL""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,1,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DFX6CBZ6""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,353,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DQ2DJM1Z""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,69,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DPN3RXQY""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,8,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DLLJPVTS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,36,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GXY5KJWG""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,33,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DHRZ21MN""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,1,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DDZ3K8KY""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,87,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H1HZLCVV""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,2,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0BJ2MC9XX""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,0,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B06XYN8GWR""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,0,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0B8C3K2KT""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,11,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DJS3919F""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,0,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0H1YDQHC8""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,22,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DGM15B12""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,4,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GY5JC8Q6""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,49,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B089QVKHF5""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,7,1,1.02,0,0,0,0
ATIVADO,"asin-expanded=""B0D82G2FKT""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,112,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0DPN2CSMS""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,8,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0D7JZPV53""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,90,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0GXZD1GVX""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,19,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0D94WNC5R""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,55,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B07Y8J2TCX""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,45,2,1.6,0,0,0,0
ATIVADO,"asin-expanded=""B079327RKY""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,9,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0C5JQY2YH""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,116,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0C5JLJJN7""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,23,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0C5JQLXG1""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,80,0,0,0,0,0,0
ATIVADO,"asin-expanded=""B0C5JLG288""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,51,1,0.56,0,0,0,0
ATIVADO,"asin-expanded=""B0H4S3FHG6""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,1.1,20,0,0,0,0,0,0
ATIVADO,"asin=""B0D94WNC5R""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,23,0,0,0,0,0,0
ATIVADO,"asin=""B0D7JZPV53""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,20,0,0,0,0,0,0
ATIVADO,"asin=""B0H2WT41JC""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,0,0,0,0,0,0,0
ATIVADO,"asin=""B0GXZD1GVX""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.9,9,0,0,0,0,0,0
ATIVADO,"asin=""B0DXQCLKCP""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.7,111,0,0,0,0,0,0
ATIVADO,"asin=""B0FXBDL5SQ""",—,TARGETING_CLAUSE_STATUS_LIVE,Em inserção,0.7,159,0,0,0,0,0,0
